"PubSID","SID","Name","City","Country","URL"
"0036080953","60103484","Merck Research Laboratories","","United States",""
"0036273648","60019295","Karolinska University Hospital","Stockholm","Sweden",""
"0142048670","60003625","Fred Hutchinson Cancer Research Center","Seattle","United States",""
"0036276657","60025879","Long Island Jewish Medical Center","New Hyde Park","United States",""
"0036273609","100346888","Therapeutic Antibody Centre","Oxford","United Kingdom",""
"0036275222","60015692","Pinderfields General Hospital","Wakefield","United Kingdom",""
"0036277109","60001576","Universitat de Barcelona","Barcelona","Spain",""
"0036275123","60029329","St George's University of London","London","United Kingdom",""
"0035559387","60029445","University of Minnesota Twin Cities","Minneapolis","United States",""
"84891604958","100454812","Peninsula Technology Assessment Group","Exeter","United Kingdom",""
"0036989987","60007762","Johann Wolfgang Goethe Universitat Frankfurt am Main","Frankfurt am Main","Germany",""
"0036179094","60013227","Northwestern University Feinberg School of Medicine","Chicago","United States",""
"1842847321","60006222","Newcastle University, United Kingdom","Newcastle","United Kingdom",""
"0035516174","60015023","University of Texas M. D. Anderson Cancer Center","Houston","United States",""
"0034864666","60021722","Southampton General Hospital","Southampton","United Kingdom",""
"0034941907","60021290","North Shore Hospital","Auckland","New Zealand",""
"0035967493","60031101","University of Cambridge","Cambridge","United Kingdom",""
"0036434638","60010337","Institute of Cancer Research London","London","United Kingdom",""
"0036072285","60013851","Washington State University Spokane","Spokane","United States",""
"0036081738","60000053","Suburban Hospital","Bethesda","United States",""
"0036081738","60001293","Armed Forces Institute of Pathology","Washington","United States",""
"0036081738","60011605","Columbia University, College of Physicians and Surgeons","New York","United States",""
"0036081738","60013409","National Cancer Institute","Bethesda","United States",""
"0036081738","60015277","Thomas Jefferson University","Philadelphia","United States",""
"0036081738","60016733","Oregon Health and Science University","Portland","United States",""
"0036081738","60016782","Brigham and Women's Hospital","Boston","United States",""
"0036081738","60025545","Emory University Hospital","Atlanta","United States",""
"0036081738","60033293","University of Washington Medical Center","Seattle","United States",""
"0035990924","60014441","Friedrich Miescher Institute for Biomedical Research","Basel","Switzerland",""
