"PubSID","SID","FullName","LastName","FirstName","Initials","DocCount"
"0036080953","7103314540","Dumont F.","Dumont","Francis J.","F.J.","48"
"0036273648","7005720318","Österborg A.","Österborg","Anders C.","A.C.","179"
"0036273648","7101926623","Mellstedt H.","Mellstedt","Håkan T.","H.T.","186"
"0036273648","35373258800","Keating M.","Keating","Michael J.","M.J.","597"
"0036528417","36051319900","Bayés M.","Bayés","M.","M.","981"
"0036528417","7004814115","Rabasseda X.","Rabasseda","Xavier","X.","231"
"0036528417","7005309041","Prous J.","Prous","Josep R.","J.R.","103"
"0142048670","7202124276","Maloney D.","Maloney","David G.","D.G.","249"
"0142048670","7006553085","SANDMAIER B.","SANDMAIER","BRENDA M.","B.M.","253"
"0142048670","7202865272","MacKinnon S.","MacKinnon","Stephen","S.","151"
"0142048670","7003386336","Shizuru J.A.","Shizuru","Judith A.","J.A.",""
"0036276657","55702404100","Rai K.","Rai","Kanti","K.","32"
"0036276657","55039245900","Hallek M.","Hallek","Michael J.","M.J.","538"
"0036273609","7102753706","HALE G.","HALE","Geoff Y.","G.Y.","139"
"0036275222","7402502878","Kennedy B.","Kennedy","Ben J.","B.J.","44"
"0036275222","7003666955","Hillmen P.","Hillmen","Peter","P.","171"
"0036277109","7102612356","Montserrat E.","Montserrat","Emili","E.","237"
"0036275123","7004292619","Dearden C.","Dearden","Claire E.","C.E.","120"
"0036275123","35374762200","Matutes E.","Matutes","Estella","E.","269"
"0036275123","7201417070","Catovsky D.","Catovsky","Daniel","D.","311"
"0035559387","7006024824","Morrison V.","Morrison","Vicki Anne","V.A.","101"
"84891604958","7003819360","Garside R.","Garside","R.","R.",""
"84891604958","12243985300","Round A.","Round","A.","A.",""
"84891604958","56274870700","Dalziel K.","Dalziel","K.","K.",""
"84891604958","7202988822","Stein K.","Stein","K.","K.",""
"84891604958","9636021800","Royle P.","Royle","P.","P.",""
"0036989987","7006070257","Ottmann O.","Ottmann","Oliver Gerhard","O.G.","222"
"0036989987","57192977289","Waßmann B.","Waßmann","Barbara","B.","40"
