"PubSID","Name"
"84942194252","Antineoplastic Combined Chemotherapy Protocols"
"84942194252","Humans"
"84942194252","Molecular Targeted Therapy"
"84942194252","Neoplasm Metastasis"
"84942194252","Neoplasm Recurrence, Local"
"84942194252","Receptor, ErbB-2"
"84942194252","Stomach Neoplasms"
"84953881828","Angiogenesis Inhibitors"
"84953881828","Antineoplastic Agents"
"84953881828","Carcinoma, Hepatocellular"
"84953881828","Drug Design"
"84953881828","Humans"
"84953881828","Liver Neoplasms"
"84953881828","Neovascularization, Pathologic"
"84953881828","Niacinamide"
"84953881828","Phenylurea Compounds"
"84935027410","Angiogenesis Inhibitors"
"84935027410","Animals"
"84935027410","Antibodies, Monoclonal"
"84935027410","Humans"
"84935027410","Neovascularization, Pathologic"
"84935027410","Receptors, Vascular Endothelial Growth Factor"
"84935027410","Urinary Bladder Neoplasms"
"84935027410","Vascular Endothelial Growth Factor A"
"84946235122","Antibodies, Monoclonal"
"84946235122","Antineoplastic Agents"
"84946235122","Hematologic Diseases"
"84946235122","Humans"
"84946235122","Incidence"
"84946235122","Neoplasms"
"84946235122","Odds Ratio"
"84946235122","Risk"
"84946235122","Severity of Illness Index"
"84938840932","Angiogenesis Inhibitors"
"84938840932","Antibodies, Monoclonal"
"84938840932","Breast Neoplasms"
"84938840932","Clinical Trials as Topic"
"84938840932","Female"
"84938840932","Gastrointestinal Neoplasms"
"84938840932","Humans"
"84938840932","Lung Neoplasms"
"84938840932","Neovascularization, Pathologic"
"84938840932","Vascular Endothelial Growth Factor Receptor-2"
"84937517268","Angiogenesis Inhibitors"
"84937517268","Antibodies, Monoclonal"
"84937517268","Carcinoma"
"84937517268","Esophageal Neoplasms"
"84937517268","Humans"
"84937517268","Membrane Proteins"
"84937517268","Neovascularization, Pathologic"
"84937517268","Proto-Oncogene Proteins c-met"
"84937517268","Stomach Neoplasms"
"84937517268","Vascular Endothelial Growth Factor Receptor-2"
"84922665326","Angiogenesis Inhibitors"
"84922665326","Antibodies, Monoclonal"
"84922665326","Antibodies, Monoclonal, Humanized"
"84922665326","Antineoplastic Agents"
"84922665326","Carcinoma, Non-Small-Cell Lung"
"84922665326","Disease Progression"
"84922665326","Humans"
"84922665326","Indoles"
"84922665326","Lung Neoplasms"
"84922665326","Molecular Targeted Therapy"
"84922665326","Neovascularization, Pathologic"
"84922665326","Taxoids"
"84922665326","Vascular Endothelial Growth Factor A"
"84928295481","Antibodies, Monoclonal"
"84928295481","Antibodies, Monoclonal, Humanized"
"84928295481","Antineoplastic Agents"
"84928295481","Clinical Trials as Topic"
"84928295481","Hepatocyte Growth Factor"
"84928295481","Humans"
"84928295481","Molecular Targeted Therapy"
"84928295481","Proto-Oncogene Proteins c-met"
"84928295481","Receptor, Epidermal Growth Factor"
"84928295481","Receptor, ErbB-2"
"84928295481","Stomach Neoplasms"
"84928295481","TOR Serine-Threonine Kinases"
"84928295481","Vascular Endothelial Growth Factor Receptor-2"
"84937032951","Adenocarcinoma"
"84937032951","Angiogenesis Inhibitors"
"84937032951","Animals"
"84937032951","Antineoplastic Agents"
"84937032951","Carcinoma, Non-Small-Cell Lung"
"84937032951","Drug Approval"
"84937032951","Drug Evaluation, Preclinical"
"84937032951","Humans"
"84937032951","Indoles"
"84937032951","Lung Neoplasms"
"84937032951","Neovascularization, Pathologic"
"85003052752","Adenocarcinoma"
"85003052752","Animals"
"85003052752","Carcinoma, Squamous Cell"
"85003052752","Disease Management"
"85003052752","Humans"
"85003052752","Lung Neoplasms"
"85003052752","Small Cell Lung Carcinoma"
"84929190537","Antineoplastic Agents"
"84929190537","Hepatocyte Growth Factor"
"84929190537","Humans"
"84929190537","Prognosis"
"84929190537","Proto-Oncogene Proteins c-met"
"84929190537","Receptor, ErbB-2"
"84929190537","Signal Transduction"
"84929190537","Stomach Neoplasms"
"84931457947","Angiogenesis Inhibitors"
"84931457947","Antibodies, Monoclonal"
"84931457947","Antibodies, Monoclonal, Humanized"
"84931457947","Antineoplastic Agents"
"84931457947","Carcinoma, Non-Small-Cell Lung"
"84931457947","Disease-Free Survival"
"84931457947","Hemorrhage"
"84931457947","Humans"
"84931457947","Indoles"
"84931457947","Lung Neoplasms"
"84931457947","Niacinamide"
"84931457947","Odds Ratio"
"84931457947","Phenylurea Compounds"
"84931457947","Piperidines"
"84931457947","Pyrimidines"
"84931457947","Pyrroles"
"84931457947","Quinazolines"
"84931457947","Randomized Controlled Trials as Topic"
"84931457947","Receptors, Vascular Endothelial Growth Factor"
"84931457947","Signal Transduction"
"84931457947","Sulfonamides"
"84931457947","Thrombocytopenia"
"84931457947","Treatment Outcome"
"84931457947","Vascular Endothelial Growth Factor A"
"84921345093","Animals"
"84921345093","Antibodies, Monoclonal"
"84921345093","Antineoplastic Agents"
"84921345093","Clinical Trials, Phase III as Topic"
"84921345093","Humans"
"84921345093","United States"
"84923281576","Antibodies, Monoclonal"
"84923281576","Antineoplastic Agents"
"84923281576","Drug Design"
"84923281576","Esophageal Neoplasms"
"84923281576","Humans"
"84923281576","Molecular Targeted Therapy"
"84923281576","Prognosis"
"84923281576","Stomach Neoplasms"
"84923281576","Survival Rate"
"84916918721","Angiogenesis Inhibitors"
"84916918721","Antineoplastic Agents"
"84916918721","Biomarkers"
"84916918721","Breast Neoplasms"
"84916918721","Clinical Trials as Topic"
"84916918721","Female"
"84916918721","Humans"
"84916918721","Molecular Targeted Therapy"
"84916918721","Neoplasm Staging"
"84916918721","Neovascularization, Pathologic"
"84916918721","Treatment Outcome"
"84916918721","Vascular Endothelial Growth Factor A"
"84928531309","Antineoplastic Agents"
"84928531309","Carcinoma, Hepatocellular"
"84928531309","Humans"
