"PubSID","Name"
"0036080953","Antibody-dependent-cellular cytotoxicity"
"0036080953","Apoptosis"
"0036080953","Bone marrow transplantation"
"0036080953","CAMPATH (alemtuzumab, MabCAMPATH)"
"0036080953","CD52 antigen"
"0036080953","Chronic lymphocytic leukemia"
"0036080953","Complement-dependent cytolysis"
"0036080953","First-dose reaction"
"0036080953","Fludarabine"
"0036080953","Immunosuppression"
"0036080953","Lymphoid malignancies"
"0036080953","Lymphopenia"
"0036080953","Monoclonal antibody"
"0036080953","Non-Hodgkin lymphoma, rituximab"
"0036080953","T-cell prolymphocytic leukemia"
"0036273648","B-cell"
"0036273648","Campath"
"0036273648","Chronic"
"0036273648","Leukemia"
"0036276657","Campath-1H, leukemia, B-cell"
"0036276657","Chronic"
"0036276657","Monoclonal antibody"
"0036273609","Bone marrow transplantation"
"0036273609","CAMPATH"
"0036273609","CD52"
"0036273609","Graft-versus-host disease"
"0036273609","Immunosuppression"
"0036273609","T-cell depletion"
"0036275222","Alemtuzumab"
"0036275222","B-cell"
"0036275222","Campath-1H"
"0036275222","Chronic"
"0036275222","Leukemia"
"0036275222","Monoclonal antibody"
"0036277109","Alemtuzumab"
"0036277109","Alkylating agents"
"0036277109","B-cell"
"0036277109","Chronic"
"0036277109","Leukemia"
"0036277109","Monoclonal antibody Campath-1H"
"0036277109","Remission induction"
"0036277109","Vincristine"
"0036275123","Alemtuzumab"
"0036275123","Campath-1H"
"0036275123","Leukemia"
"0036275123","Lymphoma"
"0036275123","Prolymphocytic"
"0036275123","T-cell"
"0035559387","Campath-1H"
"0035559387","Chlorambucil"
"0035559387","Chronic lymphocytic leukemia"
"0035559387","Corticosteroids"
"0035559387","Fludarabine"
"0035559387","Infection"
"0035559387","Prophylaxis"
"0035516174","alemtuzumab"
"0035516174","allogeneic bone marrow transplant"
"0035516174","chronic lymphocytic leukaemia"
"0035516174","monoclonal antibody"
"0035516174","prolymphocytic leukaemia"
"0035516174","therapy"
"0034864666","Immunotherapy"
"0034864666","Monoclonal antibody"
"0034864666","Non-Hodgkin's lymphoma"
"0034864666","Radioimmunotherapy"
"0034864666","Rituximab"
"0034941907","Allogeneic"
"0034941907","Bone marrow transplant"
"0034941907","Graft versus host disease"
"0035967493","Organ transplantation"
"0035967493","Tolerance"
"0036072285","Chronic myeloid leukemia"
"0036072285","Gastrointestinal stromal tumors"
"0036072285","Gleevec"
"0036072285","Imatinib mesylate"
"0036072285","Molecular targeting"
"0036072285","Protein-tyrosine kinase inhibitor"
"0036081738","CD117"
"0036081738","Diagnosis"
"0036081738","Gastrointestinal stromal tumor"
"0036081738","GIST"
"0036081738","Guidelines"
"0036081738","KIT"
"0036081738","Sarcoma"
"0035990924","Akt"
"0035990924","Apoptosis"
"0035990924","Cancer"
"0035990924","Cell cycle"
"0035990924","Diabetes"
"0035990924","PKB"
"0035990893","Cyclin-dependent kinases"
"0035990893","Epidermal growth factor kinase"
"0035990893","PKI166"
"0035990893","Protein kinase inhibitors"
"0035990893","STI571"
"0036301863","Allelic losses"
"0036301863","Gastrointestinal stromal tumor"
"0036301863","KIT mutation"
"0036301863","Prognosis"
"0036301863","Sarcoma"
"0036301722","CD117"
"0036301722","Diagnosis"
"0036301722","Gastrointestinal stromal tumor"
"0036301722","Guidelines"
"0036301722","KIT"
"0036301722","Sarcoma"
"0036019064","Comparative molecular field analysis (CoMFA)"
"0036019064","Comparative molecular similarity index analysis (CoMSIA)"
"0036019064","Homology modeling"
"0036019064","Molecular docking"
"0036019064","Pharmacophore analysis"
"0036019064","Protein kinase inhibitors"
"0036019064","Quantitative structure-activity relationships (QSAR)"
"0036019064","Structure-based drug design"
"0036244517","Leukemia"
"0036244517","Lymphoma"
"0036244517","Molecular targeting"
"0036244517","Monoclonal antibodies"
"0036245352","Decitabine"
"0036245352","Homoharring tonine"
"0036245352","Imatinib mesylate"
"0036245352","Interferon"
"0036245352","Transplant"
"0036234952","Chronic myelogenous leukemia"
"0036234952","Drug development"
"0036234952","Signal transduction"
"0036234952","Tyrosine kinase inhibitors"
"0036217230","Arsenic trioxide"
"0036217230","Bcr-Abl"
"0036217230","Farnesyltransferase"
"0036217230","Imatinib mesylate"
"0036217230","Leukemia"
"0036217230","Tyrosine kinase"
"0036207093","BCR-ABL"
"0036207093","Chronic myeloid leukaemia"
"0036207093","Fluorescence in situ hybridisation"
"0036207093","Ph chromosome"
"0036207093","Polymerase chain reaction"
"0036207093","Real time polymerase chain reaction"
"0036207093","Reverse-transcriptase polymerase chain reaction"
"0036125395","Acute lymphoblastic leukemia"
"0036125395","Allogeneic stem cell transplantation"
"0036125395","BCR-ABL"
"0036125395","Philadelphia chromosome"
"0036125395","ST1571"
"0036125395","Tyrosine kinase inhibitors"
"0037075889","Gene expression"
"0037075889","Leukemia"
"0037075889","Microarray"
"0036189039","Imatinib mesylate"
"0036189039","STI571"
"0036189039","Targeted therapy"
"0036240251","Bcr-Abl"
"0036240251","Drug resistance"
"0036240251","Leukemia"
"0036240251","Selective therapy"
"0036240251","STI-571"
"0036179862","Bcr-Abl"
"0036179862","CML"
"0036179862","STI571"
"0036179862","Tyrosine kinase"
"0036179862","Tyrosine kinase inhibitor"
"0035735828","Dendritic cells"
"0035735828","Haemopoietic stem cells"
"0035735828","Kit"
"0035735828","Signal transduction"
"0035735828","Stem cell factor"
"0035735828","STI571"
"0035743340","Clinical trials"
"0035743340","Inhibitors"
"0035743340","Protein kinases"
"0035743340","Receptor tyrosine kinases"
"0035743340","Serine/threonine kinases"
"0035743340","Targets"
"0035743340","Tumor therapy"
"0035979656","Bcr-Abl"
"0035979656","Chronic myelogenous leukemia"
"0035979656","STI571"
"0035979656","Tyrosine kinase inhibitor"
"33947529458","Acute lymphoblastic leukaemia"
"33947529458","Ara-G"
"33947529458","Lymphoblastic lymphoma"
"33947529458","Nelarabine"
"33748114785","Arranon ®"
"33748114785","Leukemia"
"33748114785","Lymphoma"
"33748114785","Nelarabine"
"33748114785","Nucleoside"
"33748114785","T cell"
"33646550489","Cladribine"
"33646550489","Clofarabine"
"33646550489","Fludarabine"
"33646550489","Immucillin H"
"33646550489","Nelarabine"
"33646550489","Pentostatin"
"0035724240","BCR-ABL"
"0035724240","Chronic myelogenous leukaemia"
"0035724240","Signal transduction"
"0035724240","STI571"
"0035724240","Therapy"
"0035724240","Tyrosine kinase inhibitor"
"34447108810","Angiogenesis"
"34447108810","Anti-angiogenic therapy"
"34447108810","Bevacizumab"
"34447108810","Pegaptinib"
"34447108810","Ranibizumab"
"34447108810","Sorafenib"
"34447108810","Sunitinib"
"34447108810","VEGF"
"34447321307","Bladder cancer"
"34447321307","Germ cell tumour"
"34447321307","Molecular therapy"
"34447321307","Oncology"
"34447321307","Prostate cancer"
"34447321307","Renal cell carcinoma"
"34447321307","Targeted therapy"
"34447321307","Tyrosine kinase inhibitor"
"34548850080","Kinase inhibitor"
"34548850080","VEGFR"
"33947610173","Bevacizumab"
"33947610173","Breast cancer"
"33947610173","Cyclooxygenase-2"
"33947610173","Targeting therapy"
"33947610173","Trastuzumab"
"34248372373","EGFR"
"34248372373","Targeted therapy"
"34248372373","Tyrosine kinase inhibitors"
"34248372373","VEGF"
"33846621955","Review"
"33846621955","Small molecule tyrosine kinase inhibitors"
"33846621955","Solid tumors"
"33846621955","Tyrosine kinase inhibitors"
"33846200478","Bevacizumab"
"33846200478","Interferon"
"33846200478","Interleukin-2"
"33846200478","Renal cell cancer"
"33846200478","Sorafenib"
"33846200478","Sunitinib"
"33846200478","Tyrosine kinase inhibitors"
"33947669287","Bevacizumab"
"33947669287","Molecular biology"
"33947669287","Renal cell carcinoma"
"33947669287","Sorafenib"
"33947669287","Sunitinib"
"33947669287","Temsirolimus"
"33846051511","Bevacizumab"
"33846051511","CAIX"
"33846051511","COX-2"
"33846051511","Cytokines"
"33846051511","Renal carcinoma"
"33846051511","Sorafenib"
"33846051511","Sunitinib"
"33846051511","Temsirolimus"
"33846051511","VEGF"
"33846084359","Bevacizumab"
"33846084359","Immunotherapy"
"33846084359","mTOR"
"33846084359","Renal cell carcinoma"
"33846084359","Sorafenib"
"33846084359","Sunitinib"
"33846084359","VEGF"
"33750941018","Angiogenesis"
"33750941018","Antiangiogenesis inhibitor"
"33750941018","Targeted therapy"
"33750941018","VEGF"
"33750711391","Kinase inhibition"
"33750711391","Metastatic"
"33750711391","Renal cell carcinoma"
"33750711391","Systemic therapy"
"33750711391","Targeted drugs"
"39049181210","Immunotherapy"
"39049181210","Kinase inhibitors"
"39049181210","Sorafenib"
"39049181210","Sunitinib"
"39049181210","Vaccine therapy"
"33747197773","Antiangiogenic therapy"
"33747197773","New regimens"
"33747197773","Renal cancer"
"33747197773","Targeted therapies"
"33748581389","Metastatic systemic therapy"
"33748581389","Renal cell carcinoma"
"33748581389","Targeted drugs"
"33748643613","Adjuvant therapy"
"33748643613","Bevacizumab"
"33748643613","Ixabepilone"
"33748643613","Lapatinib"
"33748643613","Pertuzumab"
"33746591262","Angiogenesis"
"33746591262","Clinical trials"
"33746591262","Tyrosine kinase inhibitors"
"33746591262","VEGFR"
"33747042577","Bevacizumab"
"33747042577","Interferon"
"33747042577","Interleukin-2"
"33747042577","Renal cell cancer"
"33747042577","Sorafenib"
"33747042577","Sunitinib"
"33747042577","Tyrosine kinase inhibitors"
"33745253801","Drug-induced liver injury"
"33745253801","GIST"
"33745253801","Hepatotoxicity"
"33745253801","Imatinib"
"33746127995","BAY 43-9006"
"33746127995","Bevacizumab"
"33746127995","Carcinoma"
"33746127995","Renal cell"
"33746127995","SU 11248"
"33746127995","VEGF"
"33746127995","VHL"
"33646448005","Antiangiogenic"
"33646448005","Antitumour"
"33646448005","GIST"
"33646448005","Inhibitor"
"33646448005","Multitargeted tyrosine kinase"
"33646448005","RCC"
"33646448005","Solid tumours"
"33646448005","SU11248"
"33646448005","Sunitinib"
"33644840580","Bevacizumab"
"33644840580","CCI-779"
"33644840580","Erlotinib"
"33644840580","Sorafenib"
"33644840580","Sunitinib"
"33644840580","Von Hippel-Lindau"
"33745005282","AG-013736"
"33745005282","Epidermal growth factor receptor"
"33745005282","Raf kinase inhibitors"
"33745005282","Sorafenib"
"33745005282","Vascular endothelial growth factor Trap"
"84942194252","chemotherapy"
"84942194252","gastric cancer"
"84942194252","immune checkpoint inhibitor"
"84942194252","metastatic"
"84942194252","recurrent"
"84942194252","targeted therapy"
"84953881828","Anti-CTLA-4"
"84953881828","Anti-PD1"
"84953881828","Cabozantinib"
"84953881828","Everolimus"
"84953881828","Hepatocellular carcinoma"
"84953881828","Immunotherapy"
"84953881828","Lenvatinib"
"84953881828","Oncolytic virus"
"84953881828","Ramucirumab"
"84953881828","Receptor tyrosine kinase inhibitor"
"84953881828","Refametinib"
"84953881828","Regorafenib"
"84953881828","Sorafenib"
"84953881828","Tivantinib"
"84953881828","Trebananib"
"84935027410","Angiogenesis"
"84935027410","Bevacizumab"
"84935027410","Bladder"
"84935027410","Bladder cancer"
"84935027410","Cabozantinib"
"84935027410","Metastases"
"84935027410","Metastasis"
"84935027410","Metastatic bladder cancer"
"84935027410","Metastatic urothelial carcinoma"
"84935027410","Pazopanib"
"84935027410","Ramucirumab"
"84935027410","RECIST"
"84935027410","Sorafenib"
"84935027410","Sunitinib"
"84935027410","Targeted agents"
"84935027410","Targeted therapies"
"84935027410","Urothelial"
"84935027410","Urothelial carcinoma"
"84935027410","VEGF"
"84946235122","anemia"
"84946235122","neutropenia"
"84946235122","ramucirumab"
"84946235122","thrombocytopenia"
"84938840932","Angiogenesis"
"84938840932","gastric cancer"
"84938840932","ramucirumab"
"84938840932","review"
"84937517268","Advanced gastric cancer"
"84937517268","Angiogenesis"
"84937517268","Bevacizumab"
"84937517268","Ramucirumab"
"84922665326","Angiogenesis"
"84922665326","Bevacizumab"
"84922665326","Nivolumab"
"84922665326","Ramucirumab"
"84922665326","Vascular endothelial growth factor"
"84928295481","Gastric cancer"
"84928295481","HER-2"
"84928295481","Targeted therapy"
"84928295481","Trastuzumab"
"84928295481","VEGFR-2"
"84937032951","antiangiogenic drugs"
"84937032951","BIBF1120"
"84937032951","nintedanib"
"84937032951","non-small cell lung cancer"
"84937032951","NSCLC"
"84937032951","tyrosine kinase inhibitor"
"84929190537","C-mesenchymal-epithelial transition inhibitor"
"84929190537","C-mesenchymal-epithelial transition pathway"
"84929190537","Gastric cancer"
"84929190537","Molecular targeted agents"
"84931457947","Angiogenesis"
"84931457947","Antibody"
"84931457947","Non-small cell lung cancer"
"84931457947","Tyrosine kinase inhibitor"
"84921345093","Biosimilar antibodies"
"84921345093","Cancer"
"84921345093","Clinical studies"
"84921345093","European Medicines Agency"
"84921345093","Food and Drug Administration"
"84921345093","Immune-mediated disorders"
"84921345093","Monoclonal antibodies"
"84923281576","Antibody"
"84923281576","EGFR"
"84923281576","Esophageal cancer"
"84923281576","Gastric cancer"
"84923281576","Gastroesophageal cancer"
"84923281576","Her2"
"84923281576","MET"
"84923281576","Targeted therapy"
"84923281576","VEGF"
"84916918721","Anti-angiogenic therapy"
"84916918721","Biomarkers"
"84916918721","Breast cancer"
"84916918721","Vascular endothelial growth factor"
"84928531309","BCLC RECIST"
"84928531309","BCLC staging"
"84928531309","hepatocellular carcinoma"
"84928531309","RECIST"
"84928531309","survival"
"84928531309","treatment"
"84928531309","trial design"
"84921362441","anti-VEGFR monoclonal antibodies"
"84921362441","gastric cancer"
"84921362441","ramucirumab"
"84921362441","vascular endothelial growth factor receptor"
"84927649692","Adjuvant"
"84927649692","Chemoradiation"
"84927649692","Chemotherapy"
"84927649692","Gastric cancer"
"84927649692","Preoperative"
"84928044744","Biomarkers"
"84928044744","Gastric cancer"
"84928044744","HER2"
"84928044744","Predictive"
"84928044744","Prognostic"
"84909989459","Epidermal growth factors pathway"
"84909989459","Gastric cancer"
"84909989459","Human epidermal growth factor receptor 2 protein"
"84909989459","Molecular targeting therapy"
"84909989459","Vascular endothelial growth factors/Vascular endothelial growth factor receptor pathway"
"84923279264","Angiogenesis"
"84923279264","Antiangiogenic"
"84923279264","Bevacizumab"
"84923279264","Metastatic colorectal cancer"
"84923279264","Ramucirumab"
"84923279264","Regorafenib"
"84923279264","Ziv-aflibercept"
"84910003792","Chemoradiation"
"84910003792","Chemotherapy"
"84910003792","Gastric cancer"
"84910003792","Localized"
"84910003792","Metastatic"
"84921728501","Hepatocellular carcinoma"
"84921728501","Management"
"84921728501","Patients selection"
"84921728501","RECIST"
"84921728501","Systemic treatment"
"84921728501","Tumour response"
"84906777617","Chemotherapy"
"84906777617","Eradication"
"84906777617","Follow-up"
"84906777617","Gastric cancer"
"84906777617","Helicobacter pylori"
"84906777617","Ramucirumab"
"84925610511","Angiogenesis"
"84925610511","Antiangiogenic therapy"
"84925610511","Gastric cancer"
"84925610511","Vascular endothelial growth factor"
"84916199585","Bevacizumab"
"84916199585","Gastric cancer"
"84916199585","Ramucirumab"
"84916199585","VEGF"
"84902313634","Gastric cancer"
"84902313634","MET-inhibitors"
"84902313634","Pertuzumab"
"84902313634","Ramucirumab"
"84902313634","Target therapy"
"84905025438","5-fluorouracil"
"84905025438","advanced gastric cancer"
"84905025438","chemotherapy"
"84905025438","cisplatin"
"84905025438","docetaxel"
"84905025438","targeted agents"
"84905025438","trastuzumab"
"84905858700","Angiogenesis"
"84905858700","Metastatic esophageal and gastric cancer"
"84905858700","Ramucirumab"
"84905858700","Target therapy"
"84901586010","chemoembolization"
"84901586010","hepatocellular carcinoma"
"84901586010","irreversible electroporation"
