"SID","PMID","DOI","EID","Date","Title"
"0036080953","12113063","","2-s2.0-0036080953","2002-07-04","CAMPATH (alemtuzumab) for the treatment of chronic lymphocytic leukemia and beyond"
"0036273648","12180488","10.1385/MO:19:2S:S21","2-s2.0-0036273648","2002-06-22","Clinical effects of alemtuzumab (Campath-1H) in B-cell chronic lymphocytic leukemia"
"0036528417","12087878","","2-s2.0-0036528417","2002-04-01","Gateways to Clinical Trials."
"0142048670","12446434","","2-s2.0-0142048670","2002-01-01","Non-myeloablative transplantation."
"0036276657","12180493","10.1385/MO:19:2S:S57","2-s2.0-0036276657","2002-01-01","Future prospects for alemtuzumab (MabCampath™)"
"0036273609","12180491","10.1385/MO:19:2S:S33","2-s2.0-0036273609","2002-01-01","Alemtuzumab in stem cell transplantation"
"0036275222","12180492","10.1385/MO:19:2S:S49","2-s2.0-0036275222","2002-01-01","Immunological effects and safe administration of alemtuzumab (MabCampath™) in advanced B-CLL"
"0036277109","12180487","10.1385/MO:19:2S:S11","2-s2.0-0036277109","2002-01-01","Current and developing chemotherapy for CLL"
"0036275123","12180489","10.1385/MO:19:2S:S27","2-s2.0-0036275123","2002-01-01","Alemtuzumab in T-cell malignancies"
"0035559387","12113137","","2-s2.0-0035559387","2001-12-01","Update on prophylaxis and therapy of infection in patients with chronic lymphocytic leukemia"
"84891604958","12633529","","2-s2.0-84891604958","2002-12-01","The effectiveness and cost-effectiveness of imatinib in chronic myeloid leukaemia: a systematic review."
"0036989987","12611069","","2-s2.0-0036989987","2002-12-01","Imatinib for relapsed BCR/ABL positive leukemias"
"0036179094","11842392","","2-s2.0-0036179094","2002-03-06","Conceptual aspects of combining rituximab and Campath-1H in the treatment of chronic lymphocytic leukemia"
"1842847321","12446421","","2-s2.0-1842847321","2002-01-01","Chronic myelogenous leukemia."
"0035178658","11760553","","2-s2.0-0035178658","2001-12-10","New directions in chronic lymphocytic leukemia"
"0035516174","11728236","10.1517/14712598.1.6.1059","2-s2.0-0035516174","2001-11-01","Alemtuzumab: A novel monoclonal antibody"
"0034864666","11585011","10.1517/14656566.2.6.953","2-s2.0-0034864666","2001-08-27","Antibody therapy of lymphoma"
"0034941907","11583062","10.1517/14656566.2.7.1109","2-s2.0-0034941907","2001-07-24","New developments in the prophylaxis and treatment of graft versus host disease"
"0035967493","11375079","10.1098/rstb.2001.0848","2-s2.0-0035967493","2001-05-29","The future of organ transplantation: From the laboratory to the clinic"
"0036434638","12401703","","2-s2.0-0036434638","2002-12-02","Gastrointestinal stromal tumours (GIST): Biology and treatment"
"0036072285","12122963","","2-s2.0-0036072285","2002-07-02","Imatinib mesylate"
"0036081738","12075401","","2-s2.0-0036081738","2002-06-29","Diagnosis of gastrointestinal stromal tumors: A consensus approach"
"0035990924","12191616","10.1016/S0163-7258(02)00193-6","2-s2.0-0035990924","2002-06-20","Inhibition of protein kinase B/Akt: Implications for cancer therapy"
"0035990893","12191602","10.1016/S0163-7258(02)00179-1","2-s2.0-0035990893","2002-06-20","Protein kinases as targets for anticancer agents: From inhibitors to useful drugs"
"0036527429","12120282","","2-s2.0-0036527429","2002-04-01","Protein kinases - The major drug targets of the twenty-first century?"
"0036463987","12086882","10.1016/S1535-6108(02)00022-3","2-s2.0-0036463987","2002-02-01","Disabling Abl - Perspectives on Abl kinase regulation and cancer therapeutics"
"0036463948","12086885","10.1016/S1535-6108(02)00025-9","2-s2.0-0036463948","2002-02-01","Perspectives on the development of a molecularly targeted agent"
"0036301863","12094372","10.1053/hupa.2002.124123","2-s2.0-0036301863","2002-01-01","Evaluation of malignancy and prognosis of gastrointestinal stromal tumors: A review"
"0036301722","12094370","10.1053/hupa.2002.123545","2-s2.0-0036301722","2002-01-01","Diagnosis of gastrointestinal stromal tumors: A consensus approach"
"0036019064","12052199","10.2174/1381612023394304","2-s2.0-0036019064","2002-07-16","The use of computational methods in the discovery and design of kinase inhibitors"
"0036244517","12004080","","2-s2.0-0036244517","2002-05-23","Cell surface antigen and molecular targeting in the treatment of hematologic malignancies"
"0036245352","11993784","","2-s2.0-0036245352","2002-05-21","Current therapy of chronic myelogenous leukemia"
"0036225236","12054102","","2-s2.0-0036225236","2002-05-11","Imatinib Novartis"
"0036234952","11976731","10.1007/s00109-001-0305-3","2-s2.0-0036234952","2002-05-06","Targeted chemotherapy: Chronic myelogenous leukemia as a model"
"0036546617","12012318","","2-s2.0-0036546617","2002-04-01","Recent advances in Philadelphia chromosome-positive malignancies: the potential role of arsenic trioxide."
"0035746356","11989613","","2-s2.0-0035746356","2001-12-01","Signaling proteins as innovative targets for antineoplastic therapy: Our experience with the signaling protein c-Myc"
"0035746557","11989608","","2-s2.0-0035746557","2001-12-01","STI571 (GLIVEC-TM): A new paradigm for the development of innovative therapies in onco-hematology?"
"0035749620","12057094","","2-s2.0-0035749620","2001-12-01","Gastrointestinal stromal tumors."
"0035383005","12057124","","2-s2.0-0035383005","2001-06-01","Chronic myelogenous leukemia in chronic phase."
"0036511584","11925533","10.1067/moe.2002.121988","2-s2.0-0036511584","2002-12-01","Acute myelogenous leukemia: Advances and limitations of treatment"
"0036217230","11961207","","2-s2.0-0036217230","2002-04-20","Multifaceted approach to the treatment of Bcr-Abl-positive leukemias"
"0036207093","11919387","10.1159/000046635","2-s2.0-0036207093","2002-04-10","Cytogenetic and molecular monitoring of residual disease in chronic myeloid leukaemia"
"0036125395","11960387","10.1038/sj/thj/6200151","2-s2.0-0036125395","2002-03-25","The ABL tyrosine kinase inhibitor STI571 (Glivec) in Philadelphia positive acute lymphoblastic leukemia - Promises, pitfalls and possibilities"
"0037087531","11896121","10.1200/JCO.20.6.1692","2-s2.0-0037087531","2002-03-15","Inhibition of KIT tyrosine kinase activity: A novel molecular approach to the treatment of KIT-positive malignancies"
"0037075889","11960697","10.1016/S0304-419X(02)00038-0","2-s2.0-0037075889","2002-03-14","The promise of gene expression analysis in hematopoetic malignancies"
"0036189039","11901302","10.1097/00001813-200202000-00001","2-s2.0-0036189039","2002-03-11","STI571 (imatinib mesylate): The tale of a targeted therapy"
"0036216405","11927282","10.1016/S1471-4914(02)02305-5","2-s2.0-0036216405","2002-01-01","STI571 (Gleevec™) as a paradigm for cancer therapy"
"0036240251","11960334","10.1038/sj.leu.2402413","2-s2.0-0036240251","2002-01-01","STI-571 must select for drug-resistant cells but 'no cell breathes fire out of its nostrils like a dragon'"
"0035496607","11900253","","2-s2.0-0035496607","2001-12-01","Rescuing the function of mutant p53"
"0036179862","11818480","10.1146/annurev.med.53.082901.103853","2-s2.0-0036179862","2002-03-09","Recent advancements in the treatment of chronic myelogenous leukemia"
"0037186924","11870247","10.1056/NEJMra013339","2-s2.0-0037186924","2002-02-28","Imatinib mesylate - A new oral targeted therapy"
"0036139993","11773186","10.1200/JCO.20.1.325","2-s2.0-0036139993","2002-01-01","STI571: A paradigm of new agents for cancer therapeutics"
"0036134344","11734109","","2-s2.0-0036134344","2002-01-01","Tyrosine kinase inhibitors: a clinical perspective."
"0035207173","11740805","","2-s2.0-0035207173","2001-12-27","Signal transduction inhibition: Changing paradigms in cancer care"
"0035207448","11740801","","2-s2.0-0035207448","2001-12-27","The biology of signal transduction inhibition: Basic science to novel therapies"
"0035210658","11740802","","2-s2.0-0035210658","2001-12-27","Imatinib mesylate: Clinical results in Philadelphia chromosome-positive leukemias"
"0035207172","11740804","","2-s2.0-0035207172","2001-12-27","Platelet-derived growth factor receptors: A therapeutic target in solid tumors"
"0035211136","11740803","","2-s2.0-0035211136","2001-12-27","Targeting c-kit mutations in solid tumors: Scientific rationale and novel therapeutic options"
"0035735828","11792120","10.1054/blre.2001.0167","2-s2.0-0035735828","2001-12-01","Stem cell factor: Laboratory and clinical aspects"
"0035179904","11718431","","2-s2.0-0035179904","2001-12-11","Chronic myelogenous leukemia: The news you have and haven't heard"
"0035743340","11574762","10.1159/000055106","2-s2.0-0035743340","2001-12-01","Targeting protein kinases for tumor therapy"
"0034806256","11576833","10.1016/S0959-8049(01)00237-4","2-s2.0-0034806256","2001-10-10","STI571: A magic bullet?"
"0034828629","11717816","","2-s2.0-0034828629","2001-10-01","STI-571: Current status and future prospects"
"0034868065","11526598","","2-s2.0-0034868065","2001-09-15","Interferon-alfa - Based treatment of chronic myeloid leukemia and implications of signal transduction inhibition"
"0034873546","11526599","","2-s2.0-0034873546","2001-09-15","Implications of imatinib mesylate for hematopoietic stem cell transplantation"
"0034861356","11526600","","2-s2.0-0034861356","2001-09-15","Perspectives on the future of chronic myeloid leukemia treatment"
"0034861220","11526597","","2-s2.0-0034861220","2001-09-15","Molecular studies in chronic myeloid leukemia patients treated with tyrosine kinase inhibitors"
"0035979656","11553417","10.1016/S0304-419X(01)00022-1","2-s2.0-0035979656","2001-08-31","Bcr-Abl inhibition as a modality of CML therapeutics"
"0035934067","11509034","","2-s2.0-0035934067","2001-08-22","Chronic myelogenous leukemia"
"33947529458","16925505","10.1517/14656566.7.13.1791","2-s2.0-33947529458","2006-09-01","Nelarabine in the treatment of refractory T-cell malignant diseases"
"44849122586","18473971","10.2174/157488706778250104","2-s2.0-44849122586","2006-09-01","Nelarabine: a new purine analog in the treatment of hematologic malignancies."
"33748114785","16922610","10.2217/14796694.2.4.441","2-s2.0-33748114785","2006-08-01","Nelarabine: Efficacy in the treatment of clinical malignancies"
"33747146790","16894400","10.1358/dot.2006.42.7.985638","2-s2.0-33747146790","2006-07-01","Nelarabine use in leukemias"
"33646550489","16719832","10.2174/138955706776876212","2-s2.0-33646550489","2006-05-01","Pharmacological and clinical studies on purine nucleoside analogs-New anticancer agents"
"0035724240","11454136","10.1046/j.1365-2796.2001.00823.x","2-s2.0-0035724240","2001-12-01","Chronic myelogenous leukaemia - New therapeutic principles"
"0034876108","11526595","","2-s2.0-0034876108","2001-09-15","The role of Bcr-Abl in chronic myeloid leukemia and stem cell biology"
"0034868659","11526596","","2-s2.0-0034868659","2001-09-15","Signal transduction inhibition: Results from phase I clinical trials in chronic myeloid leukemia"
"0034942219","11409908","10.1054/blre.2001.0152","2-s2.0-0034942219","2001-07-18","Tyrosine kinase inhibitors in the treatment of chronic myeloid leukaemia: So far so good?"
"0035408513","11504279","","2-s2.0-0035408513","2001-07-01","Current treatment approaches for chronic myelogenous leukemia."
"34547202678","17607922","","2-s2.0-34547202678","2007-08-01","C-kit, GIST, and imatinib."
"34447108810","17537667","10.1016/j.biocel.2007.04.010","2-s2.0-34447108810","2007-07-11","Vascular endothelial growth factor: Biology and therapeutic applications"
"34447321307","17627159","10.1159/000102904","2-s2.0-34447321307","2007-07-01","Molecular therapy in urologic oncology"
"34548850080","17692027","10.2174/156802607781696855","2-s2.0-34548850080","2007-07-01","Molecular design and clinical development of VEGFR kinase inhibitors"
"34249941592","17547470","10.2165/00003495-200767090-00002","2-s2.0-34249941592","2007-06-12","Advanced renal cell carcinoma: Current and emerging management strategies"
"34247228121","17402790","10.2165/00063030-200721020-00001","2-s2.0-34247228121","2007-04-26","HER-2-positive breast cancer: Hope beyond trastuzumab"
"34047127376","17419949","10.1016/S0065-230X(06)97011-0","2-s2.0-34047127376","2007-04-10","PDGF Receptors as Targets in Tumor Treatment"
"33947610173","17348846","10.2174/138161207780162890","2-s2.0-33947610173","2007-02-01","Targeted therapy of breast cancer"
"34248372373","17520585","","2-s2.0-34248372373","2007-01-01","Rationale and clinical results of multi-target treatments in oncology"
"34248512697","17419150","10.3816/CCC.2006.s.005","2-s2.0-34248512697","2006-11-01","Beyond imatinib: second generation c-KIT inhibitors for the management of gastrointestinal stromal tumors."
"33846262582","17208434","10.1016/j.gde.2006.12.010","2-s2.0-33846262582","2007-02-01","KIT Mutations in GIST"
"33846875418","17255307","10.1158/1078-0432.CCR-06-1975","2-s2.0-33846875418","2007-01-15","Opportunities and obstacles to combination targeted therapy in renal cell cancer"
"33846853520","17255305","10.1158/1078-0432.CCR-06-2044","2-s2.0-33846853520","2007-01-15","Phase 2 studies of sunitinib and AG013736 in patients with cytokine-refractory renal cell carcinoma"
"33846203776","17189392","10.1158/1078-0432.CCR-06-2254","2-s2.0-33846203776","2006-12-15","Targeting von Hippel-Lindau pathway in renal cell carcinoma"
"33846142512","17206887","","2-s2.0-33846142512","2006-12-01","Update on the epidemiology and biology of renal cortical neoplasms"
"34249686689","17239287","10.3816/CLC.2006.s.010","2-s2.0-34249686689","2006-12-01","Toxicities of antiangiogenic therapy in non-small-cell lung cancer."
"34047223606","17239282","10.3816/CGC.2006.s.005","2-s2.0-34047223606","2006-12-01","Targeting growth factor and antiangiogenic pathways in clear-cell renal cell carcinoma: rationale and ongoing trials."
"33847706486","17263126","","2-s2.0-33847706486","2006-12-01","Novel targets and therapies for metastatic renal cell carcinoma."
"34047195479","17239281","10.3816/CGC.2006.s.004","2-s2.0-34047195479","2006-12-01","Improving outcomes with novel therapies for patients with newly diagnosed renal cell carcinoma."
"34047215913","17239280","10.3816/CGC.2006.s.003","2-s2.0-34047215913","2006-12-01","Tyrosine kinase inhibitors compared with cytokine therapy for metastatic renal cell carcinoma: overview of recent clinical trials differentiating clinical response and adverse effects."
"33846621955","17103252","10.1245/s10434-006-9227-1","2-s2.0-33846621955","2007-02-01","Small molecule tyrosine kinase inhibitors in the treatment of solid tumors: An update of recent developments"
"33846200478","17092282","10.1111/j.1464-410X.2006.06589.x","2-s2.0-33846200478","2007-02-01","Present strategies in the treatment of metastatic renal cell carcinoma: An update on molecular targeting agents"
"33846821872","17158546","10.1200/JCO.2006.08.5415","2-s2.0-33846821872","2006-12-10","Targeted therapy for metastatic renal cell carcinoma"
"33947669287","17074668","10.1007/s12094-006-0116-7","2-s2.0-33947669287","2006-12-01","Molecular biology of renal cell carcinoma"
"33846051511","17181489","10.1586/14737140.6.12.1753","2-s2.0-33846051511","2006-12-01","Molecularly targeted therapy in renal cell carcinoma: Where do we go from here?"
"33845439417","17135925","","2-s2.0-33845439417","2006-12-01","New weapons to snuff out kidney cancer"
"33751583518","17139319","10.1038/ncponc0663","2-s2.0-33751583518","2006-12-01","Drug Insight: Vascular disrupting agents and angiogenesis - Novel approaches for drug delivery"
"33846084359","17181490","10.1586/14737140.6.12.1761","2-s2.0-33846084359","2006-12-01","Targeted therapies in metastatic renal cell carcinoma: The light at the end of the tunnel"
"33750941018","17064223","10.1517/14728214.11.4.635","2-s2.0-33750941018","2006-11-01","Therapeutic options to target angiogenesis in human malignancies"
"34548158885","17139244","","2-s2.0-34548158885","2006-10-01","The role of angiogenesis inhibition in the treatment of breast cancer."
"33750711391","16860997","10.1016/j.critrevonc.2006.06.008","2-s2.0-33750711391","2006-12-01","Kinase inhibitors in the treatment of renal cell carcinoma"
"39049181210","17026800","10.3816/CGC.2006.n.028","2-s2.0-39049181210","2006-12-01","Adjuvant therapy of renal cell carcinoma"
"33750709669","17032555","10.1007/s11864-006-0018-5","2-s2.0-33750709669","2006-11-01","Gastrointestinal stromal tumors: Imatinib and beyond"
"33749451335","17045086","10.1053/j.seminoncol.2006.06.005","2-s2.0-33749451335","2006-10-01","Adjuvant Therapy for Renal Cell Carcinoma"
"33747197773","16905978","10.1097/01.mou.0000240305.78205.77","2-s2.0-33747197773","2006-09-01","New treatment approaches in metastatic renal cell carcinoma"
"33748581389","16974118","10.1159/000094250","2-s2.0-33748581389","2006-09-01","Targeted approaches for treating advanced clear cell renal carcinoma"
"33748643613","16939387","10.1517/14728214.11.3.489","2-s2.0-33748643613","2006-09-01","Emerging drugs to replace current leaders in first-line therapy for breast cancer"
"33746591262","16880234","10.1634/theoncologist.11-7-753","2-s2.0-33746591262","2006-08-07","Tyrosine kinase inhibitors of vascular endothelial growth factor receptors in clinical trials: Current status and future directions"
"33748101399","16858179","10.1097/01.sla.0000218080.94145.cf","2-s2.0-33748101399","2006-08-01","Combined surgical and molecular therapy: The gastrointestinal stromal tumor model"
"33749052312","16859575","","2-s2.0-33749052312","2006-06-01","Phase III study of sunitinib malate (SU11248) versus interferon-α as first-line treatment in patients with metastatic renal cell carcinoma"
"33747042577","16418310","10.1093/annonc/mdj133","2-s2.0-33747042577","2006-08-01","Emerging role of tyrosine kinase inhibitors in the treatment of advanced renal cell cancer: A review"
"33745253801","16772838","10.1097/01.meg.0000216941.42306.0e","2-s2.0-33745253801","2006-07-01","Imatinib mesylate-induced acute hepatitis in a patient treated for gastrointestinal stromal tumour"
"33746127995","16850127","10.1007/s10147-006-0577-2","2-s2.0-33746127995","2006-06-01","Molecular targeting therapy for renal cell carcinoma"
"33746261239","16845442","10.1358/dot.2006.42.6.985633","2-s2.0-33746261239","2006-06-01","Sunitinib: A newly approved small-molecule inhibitor of angiogenesis"
"33646448005","16634693","10.1517/13543784.15.5.553","2-s2.0-33646448005","2006-05-01","Sunitinib malate for the treatment of solid tumours: A review of current clinical data"
"33747114066","16672131","","2-s2.0-33747114066","2006-04-01","The role of adjuvant therapy in non-metastatic RCC."
"33645812143","16608985","10.1093/annonc/mdj924","2-s2.0-33645812143","2006-04-01","Multi-target inhibitors in non-small cell lung cancer (NSCLC)"
"33644840580","16465192","10.1038/sj.bjc.6602978","2-s2.0-33644840580","2006-03-13","Targeted therapy for metastatic renal cell carcinoma"
"33645535119","16507216","10.1007/s11912-006-0041-5","2-s2.0-33645535119","2006-03-01","VEGF-targeted therapy in renal cell carcinoma: Active drugs and active choices"
"33745005282","16640800","10.3816/CLC.2006.n.010","2-s2.0-33745005282","2006-03-01","Emerging antiangiogenic agents in lung cancer"
"84942194252","26359224","10.1517/14656566.2015.1080238","2-s2.0-84942194252","2015-10-13","Advancing pharmacological treatment options for advanced gastric cancer"
"84953881828","26108356","10.1517/13543784.2015.1058776","2-s2.0-84953881828","2015-08-01","Novel drugs in clinical development for hepatocellular carcinoma"
"84935027410","26098435","10.1517/13543784.2015.1041588","2-s2.0-84935027410","2015-07-01","Targeting the VEGF pathway in metastatic bladder cancer"
"84946235122","26422782","10.2217/fon.15.178","2-s2.0-84946235122","2015-01-01","Risk of hematological toxicities in patients with solid tumors treated with ramucirumab: A meta-analysis"
"84938840932","26190526","10.1517/14712598.2015.1071350","2-s2.0-84938840932","2015-01-01","The coming of ramucirumab in the landscape of anti-angiogenic drugs: Potential clinical and translational perspectives"
"84937517268","25800976","10.1016/j.critrevonc.2015.02.009","2-s2.0-84937517268","2015-08-01","Angiogenic inhibitors in gastric cancers and gastroesophageal junction carcinomas: A critical insight"
"84922665326","25602682","10.1097/CCO.0000000000000166","2-s2.0-84922665326","2015-01-01","Novel angiogenesis inhibitors in nonsmall cell lung cancer"
"84928295481","25706252","10.1111/apm.12359","2-s2.0-84928295481","2015-01-01","Targeted therapy in gastric cancer"
"84937032951","25855060","10.1177/1753465815579608","2-s2.0-84937032951","2015-01-01","Nintedanib in non-small cell lung cancer: From preclinical to approval"
"85003052752","25993153","10.14694/EdBook_AM.2015.35.147","2-s2.0-85003052752","2015-01-01","Beyond adenocarcinoma: current treatments and future directions for squamous, small cell, and rare lung cancer histologies"
"84929190537","25881479","10.1517/14656566.2015.1037739","2-s2.0-84929190537","2015-01-01","Role of c-mesenchymal-epithelial transition pathway in gastric cancer"
"84931457947","25373315","10.1007/s00432-014-1862-5","2-s2.0-84931457947","2015-04-11","Efficacy and safety of angiogenesis inhibitors in advanced non-small cell lung cancer: a systematic review and meta-analysis"
"84921345093","25484055","10.4161/19420862.2015.988944","2-s2.0-84921345093","2015-01-01","Antibodies to watch in 2015"
"84923281576","25483267","10.1517/14728214.2015.983072","2-s2.0-84923281576","2015-01-01","Emerging mAbs for the treatment of esophagogastric cancer"
"84916918721","25514409","10.3390/ijms151223024","2-s2.0-84916918721","2014-12-11","Anti-Vascular Endothelial Growth Factor Therapy in Breast Cancer"
"84928531309","25369306","10.1055/s-0034-1394143","2-s2.0-84928531309","2014-11-01","Systemic therapy for hepatocellular carcinoma: The issue of treatment stage migration and registration of progression using the BCLC-refined RECIST"
"84921362441","25431958","10.1586/17474124.2015.987754","2-s2.0-84921362441","2014-01-01","Ramucirumab for gastric cancer"
"84918573384","25281695","10.1158/1078-0432.CCR-14-1071","2-s2.0-84918573384","2014-12-01","Ramucirumab: Successfully targeting angiogenesis in gastric cancer"
"84907486352","25268988","10.1371/journal.pone.0108940","2-s2.0-84907486352","2014-09-30","Chemotherapy or targeted therapy as second-line treatment of advanced gastric cancer. A systematic review and meta-analysis of published studies"
"84927649692","25197781","10.1097/MOG.0000000000000115","2-s2.0-84927649692","2014-01-01","Management of gastric cancer"
"84928044744","25142842","10.1634/theoncologist.2014-0006","2-s2.0-84928044744","2014-01-01","How prognostic and predictive biomarkers are transforming our understanding and management of advanced gastric cancer"
"84909989459","25320512","10.3748/wjg.v20.i38.13741","2-s2.0-84909989459","2014-01-01","Molecular targeting to treat gastric cancer"
"84923279264","25047778","10.1016/j.ctrv.2014.07.001","2-s2.0-84923279264","2014-01-01","Understanding the mechanisms of action of antiangiogenic agents in metastatic colorectal cancer: A clinician's perspective"
"84910003792","25320502","10.3748/wjg.v20.i38.13637","2-s2.0-84910003792","2014-01-01","Medical management of gastric cancer: A 2014 update"
"84921728501","25260318","10.1016/j.bpg.2014.08.003","2-s2.0-84921728501","2014-01-01","Systemic treatment"
"84906777617","25167943","10.1111/hel.12164","2-s2.0-84906777617","2014-01-01","Gastric Cancer-Epidemiologic and Clinical Aspects"
"84925610511","24993497","10.1007/s10120-014-0397-4","2-s2.0-84925610511","2015-01-01","Vascular Endothelial Growth Factor A Inhibition in Gastric Cancer"
"84916199585","24970311","10.1016/j.critrevonc.2014.05.012","2-s2.0-84916199585","2015-01-01","Targeting vascular endothelial growth factor (VEGF) pathway in gastric cancer: Preclinical and clinical aspects"
"84902313634","24806575","10.1517/13543784.2014.912631","2-s2.0-84902313634","2014-01-01","The challenge of targeted therapies for gastric cancer patients: The beginning of a long journey"
"84905025438","24953238","10.1586/14737140.2014.915194","2-s2.0-84905025438","2014-01-01","Challenges in first line chemotherapy and targeted therapy in advanced gastric cancer"
"84904044814","24916147","10.1007/s40265-014-0244-2","2-s2.0-84904044814","2014-01-01","Ramucirumab: First global approval"
"84905858700","24881691","10.1517/14712598.2014.921677","2-s2.0-84905858700","2014-01-01","Angiogenesis in esophageal and gastric cancer: A paradigm shift in treatment"
"84901586010","24810646","10.1007/s11684-014-0332-4","2-s2.0-84901586010","2014-01-01","Advances in managing hepatocellular carcinoma"
"84905253056","24858418","10.1016/j.bbcan.2014.05.003","2-s2.0-84905253056","2014-01-01","Targeted therapy for gastric cancer: Molecular pathways and ongoing investigations"
"84905827126","25018016","10.1517/14712598.2014.939069","2-s2.0-84905827126","2014-01-01","Clinical experience with ramucirumab: Outcomes in breast cancer"
"84903175348","24665840","10.1586/17474124.2014.902304","2-s2.0-84903175348","2014-01-01","Recent advances and future trends in the targeted therapy of metastatic gastric cancer"
"84944746471","","10.2147/OTT.S79145","2-s2.0-84944746471","2015-10-15","Molecular profiling in the treatment of colorectal cancer: Focus on regorafenib"
"84958202246","","10.7573/dic.212289","2-s2.0-84958202246","2015-10-14","Metastatic squamous cell non-small-cell lung cancer (NSCLC): Disrupting the drug treatment paradigm with immunotherapies"
"84942307259","","10.2147/BTT.S62777","2-s2.0-84942307259","2015-09-22","Clinical utility of ramucirumab in advanced gastric cancer"
"84938236267","","10.2147/TCRM.S71045","2-s2.0-84938236267","2015-07-28","Critical evaluation of ramucirumab in the treatment of advanced gastric and gastroesophageal cancers"
"84938709400","","10.4161/2162402X.2014.985940","2-s2.0-84938709400","2015-01-01","Trial watch: Tumor-targeting monoclonal antibodies for oncological indications"
"84928990257","","10.4254/wjh.v7.i5.787","2-s2.0-84928990257","2015-01-01","Chemotherapy and target therapy for hepatocellular carcinoma: New advances and challenges"
"84930651849","","10.2147/OTT.S82624","2-s2.0-84930651849","2015-01-01","Tracking the 2015 gastrointestinal cancers symposium: Bridging cancer biology to clinical gastrointestinal oncology"
"84919385796","","10.12703/P6-117","2-s2.0-84919385796","2014-12-01","Recent advances in the treatment of non-small cell and small cell lung cancer"
"85015497707","","10.3978/j.issn.2305-5839.2014.08.14","2-s2.0-85015497707","2014-12-01","Clinical advances in the development of novel VEGFR2 inhibitors"
"0036362333","2002142476","","2-s2.0-0036362333","2002-01-01","New agents and future directions in biotherapy."
"84945456021","","10.1111/hepr.12459","2-s2.0-84945456021","2015-01-01","New molecularly targeted therapies against advanced hepatocellular carcinoma: From molecular pathogenesis to clinical trials and future directions"
"84908282604","","10.2147/OTT.S61132","2-s2.0-84908282604","2014-10-29","Ramucirumab: Preclinical research and clinical development"
"84914095200","","10.4103/0971-5851.144985","2-s2.0-84914095200","2014-01-01","Anti-angiogenic therapies for advanced esophago-gastric cancer"
"0032693874","10561025","","2-s2.0-0032693874","1999-11-18","Chronic lymphocytic leukemia"
"0033794143","11049025","","2-s2.0-0033794143","2000-01-01","Novel therapies for chronic lymphocytic leukemia in the 21st century"
"0035344039","11296131","","2-s2.0-0035344039","2001-05-01","Novel treatment strategies in chronic lymphocytic leukemia."
"0029937765","8611450","10.1046/j.1365-2141.1996.450989.x","2-s2.0-0029937765","1996-05-02","Humanized CD52 monoclonal antibody Campath-1H as first-line treatment in chronic lymphocytic leukaemia"
"0035138229","11527007","","2-s2.0-0035138229","2001-02-06","Alemtuzumab Millennium/ILEX"
"0035469851","11520778","10.1182/blood.V98.5.1326","2-s2.0-0035469851","2001-09-01","Rituximab therapy of patients with B-cell chronic lymphocytic leukemia"
"0035043265","11566020","","2-s2.0-0035043265","2001-05-15","Genasense Genta Inc"
"0033522647","10366506","10.1006/jmbi.1999.2750","2-s2.0-0033522647","1999-06-04","1.9 Å structure of the therapeutic antibody CAMPATH-1H Fab in complex with a synthetic peptide antigen"
"0035555519","12171714","10.1080/146532401317070899","2-s2.0-0035555519","2001-01-01","Pharmacokinetics of CAMPATH-1H in BMT patients"
"0036470439","11792397","10.1016/S0022-1759(01)00556-7","2-s2.0-0036470439","2002-02-01","Pharmacokinetics of CAMPATH-1H: Assay development and validation"
"0029875268","8620297","","2-s2.0-0029875268","1996-03-01","Campath-1H in rheumatoid arthritis - An intravenous dose-ranging study"
"0030897222","9193354","","2-s2.0-0030897222","1997-04-01","Phase II multicenter study of human CD52 antibody in previously treated chronic lymphocytic leukemia"
"33748636682","","","2-s2.0-33748636682","2000-12-01","Campath-1h is an effective salvage therapy for fludarabine failing cll patients. results of a phase II trial"
"0035412369","11418459","10.1182/blood.V98.1.29","2-s2.0-0035412369","2001-07-01","Quantitation of minimal disease levels in chronic lymphocytic leukemia using a sensitive flow cytometric assay improves the prediction of outcome and can be used to optimize therapy"
"0030964964","9207420","","2-s2.0-0030964964","1997-07-03","In vivo 'purging' of residual disease in CLL with Campath-1H"
"33748568167","","","2-s2.0-33748568167","2000-12-01","Campath-1H with fludarabine: A novel, highly active combination in refractory CLL"
"0031905196","","","2-s2.0-0031905196","1998-03-31","T-cell prolymphocytic leukemia"
"0032005642","9593475","10.1016/S0145-2126(97)00158-6","2-s2.0-0032005642","1998-02-01","Levels of expression of CD52 in normal and leukemic B and T cells: Correlation with in vivo therapeutic responses to Campath-1H"
