"PubSID","ISSN","Type","Name","CoverDate","Volume","Issue","Pages"
"0036080953","14737140","Journal","Expert Review of Anticancer Therapy","2002-07-04","2","1","23-35"
"0036273648","13570560","Journal","Medical Oncology","2002-06-22","19","SUPPL.",""
"0036528417","03790355","Journal","Methods and Findings in Experimental and Clinical Pharmacology","2002-04-01","24","3","159-184"
"0142048670","15204391","Journal","Hematology / the Education Program of the American Society of Hematology. American Society of Hematology. Education Program","2002-01-01","","","392-421"
"0036276657","13570560","Journal","Medical Oncology","2002-01-01","19","SUPPL.",""
"0036273609","13570560","Journal","Medical Oncology","2002-01-01","19","SUPPL.",""
"0036275222","13570560","Journal","Medical Oncology","2002-01-01","19","SUPPL.",""
"0036277109","13570560","Journal","Medical Oncology","2002-01-01","19","SUPPL.",""
"0036275123","13570560","Journal","Medical Oncology","2002-01-01","19","SUPPL.",""
"0035559387","14737140","Journal","Expert Review of Anticancer Therapy","2001-12-01","1","1","84-90"
"84891604958","13665278","Journal","Health technology assessment (Winchester, England)","2002-12-01","6","33","1-162"
"0036989987","09395555","Journal","Annals of Hematology","2002-12-01","81","SUPPL. 2",""
"0036179094","00937754","Journal","Seminars in Oncology","2002-03-06","29","1 SUPPL. 2","75-80"
"1842847321","15204391","Journal","Hematology / the Education Program of the American Society of Hematology. American Society of Hematology. Education Program","2002-01-01","","","111-135"
"0035178658","10732748","Journal","Cancer Control","2001-12-10","8","6 SUPPL.","114-117"
"0035516174","14712598","Journal","Expert Opinion on Biological Therapy","2001-11-01","1","6","1059-1065"
"0034864666","14656566","Journal","Expert Opinion on Pharmacotherapy","2001-08-27","2","6","953-961"
"0034941907","14656566","Journal","Expert Opinion on Pharmacotherapy","2001-07-24","2","7","1109-1117"
"0035967493","09628436","Journal","Philosophical Transactions of the Royal Society B: Biological Sciences","2001-05-29","356","1409","767-771"
"0036434638","09237534","Journal","Annals of Oncology","2002-12-02","13","SUPPL. 4","287-289"
"0036072285","1533001X","Journal","Reviews in Gastroenterological Disorders","2002-07-02","2","2","75-86"
"0036081738","10668969","Journal","International Journal of Surgical Pathology","2002-06-29","10","2","81-89"
"0035990924","01637258","Journal","Pharmacology and Therapeutics","2002-06-20","93","2-3","243-251"
"0035990893","01637258","Journal","Pharmacology and Therapeutics","2002-06-20","93","2-3","79-98"
"0036527429","14741776","Journal","Nature Reviews Drug Discovery","2002-04-01","1","4","309-315"
"0036463987","15356108","Journal","Cancer Cell","2002-02-01","1","1","13-15"
"0036463948","15356108","Journal","Cancer Cell","2002-02-01","1","1","31-36"
"0036301863","00468177","Journal","Human Pathology","2002-01-01","33","5","478-483"
"0036301722","00468177","Journal","Human Pathology","2002-01-01","33","5","459-465"
"0036019064","13816128","Journal","Current Pharmaceutical Design","2002-07-16","8","17","1527-1545"
"0036244517","10665099","Journal","Stem Cells","2002-05-23","20","3","215-229"
"0036245352","09182918","Journal","Internal Medicine","2002-05-21","41","4","254-264"
"0036225236","14724472","Journal","Current Opinion in Investigational Drugs","2002-05-11","3","3","492-499"
"0036234952","09462716","Journal","Journal of Molecular Medicine","2002-05-06","80","4","219-232"
"0036546617","00371963","Journal","Seminars in Hematology","2002-04-01","39","2 Suppl 1","18-21"
"0035746356","03008916","Journal","Tumori","2001-12-01","87","6",""
"0035746557","03008916","Journal","Tumori","2001-12-01","87","6",""
"0035749620","15272729","Journal","Current treatment options in oncology","2001-12-01","2","6","485-491"
"0035383005","15272729","Journal","Current treatment options in oncology","2001-06-01","2","3","245-252"
"0036511584","10792104","Journal","Oral Surgery, Oral Medicine, Oral Pathology, Oral Radiology, and Endodontics","2002-12-01","93","3","257-263"
"0036217230","10837159","Journal","Oncologist","2002-04-20","7","SUPPL. 1","30-38"
"0036207093","00015792","Journal","Acta Haematologica","2002-04-10","107","2","64-75"
"0036125395","14664860","Journal","Hematology Journal","2002-03-25","3","1","2-6"
"0037087531","0732183X","Journal","Journal of Clinical Oncology","2002-03-15","20","6","1692-1703"
"0037075889","0304419X","Journal","Biochimica et Biophysica Acta - Reviews on Cancer","2002-03-14","1602","1","88-95"
"0036189039","09594973","Journal","Anti-Cancer Drugs","2002-03-11","13","2","111-114"
"0036216405","14714914","Journal","Trends in Molecular Medicine","2002-01-01","8","4 SUPPL.",""
"0036240251","08876924","Journal","Leukemia","2002-01-01","16","4","570-572"
"0035496607","1474175X","Journal","Nature Reviews Cancer","2001-12-01","1","1","68-76"
"0036179862","00664219","Book Series","Annual Review of Medicine","2002-03-09","53","","369-381"
"0037186924","00284793","Journal","New England Journal of Medicine","2002-02-28","346","9","683-693"
