"PubSID","Code","Abbr","Name"
"0036080953","1306","BIOC","Cancer Research"
"0036080953","3004","PHAR","Pharmacology"
"0036273648","1306","BIOC","Cancer Research"
"0036273648","2730","MEDI","Oncology"
"0036528417","2736","MEDI","Pharmacology (medical)"
"0036528417","3000","PHAR","Pharmacology, Toxicology and Pharmaceutics (all)"
"0036276657","1306","BIOC","Cancer Research"
"0036276657","2730","MEDI","Oncology"
"0036273609","1306","BIOC","Cancer Research"
"0036273609","2730","MEDI","Oncology"
"0036275222","1306","BIOC","Cancer Research"
"0036275222","2730","MEDI","Oncology"
"0036277109","1306","BIOC","Cancer Research"
"0036277109","2730","MEDI","Oncology"
"0036275123","1306","BIOC","Cancer Research"
"0036275123","2720","MEDI","Hematology"
"0036275123","2730","MEDI","Oncology"
"0035559387","1306","BIOC","Cancer Research"
"0035559387","3004","PHAR","Pharmacology"
"84891604958","2719","MEDI","Health Policy"
"0036989987","2720","MEDI","Hematology"
"0036179094","2730","MEDI","Oncology"
"0035178658","2730","MEDI","Oncology"
"0035516174","1300","BIOC","Biochemistry, Genetics and Molecular Biology (all)"
"0035516174","1308","BIOC","Clinical Biochemistry"
"0035516174","1311","BIOC","Genetics"
"0035516174","2403","IMMU","Immunology"
"0035516174","3002","PHAR","Drug Discovery"
"0035516174","3004","PHAR","Pharmacology"
"0034864666","2736","MEDI","Pharmacology (medical)"
"0034864666","3000","PHAR","Pharmacology, Toxicology and Pharmaceutics (all)"
"0034941907","2736","MEDI","Pharmacology (medical)"
"0034941907","3000","PHAR","Pharmacology, Toxicology and Pharmaceutics (all)"
"0035967493","1100","AGRI","Agricultural and Biological Sciences (all)"
"0035967493","1101","AGRI","Agricultural and Biological Sciences (miscellaneous)"
"0036434638","1306","BIOC","Cancer Research"
"0036434638","2730","MEDI","Oncology"
"0036072285","2715","MEDI","Gastroenterology"
"0036081738","2702","MEDI","Anatomy"
"0036081738","2734","MEDI","Pathology and Forensic Medicine"
"0036081738","2746","MEDI","Surgery"
"0035990924","3004","PHAR","Pharmacology"
"0035990893","3004","PHAR","Pharmacology"
"0036527429","1313","BIOC","Molecular Medicine"
"0036527429","3002","PHAR","Drug Discovery"
"0036463987","1306","BIOC","Cancer Research"
"0036463987","1307","BIOC","Cell Biology"
"0036463987","2730","MEDI","Oncology"
"0036463948","1306","BIOC","Cancer Research"
"0036463948","1307","BIOC","Cell Biology"
"0036463948","2730","MEDI","Oncology"
"0036301863","2734","MEDI","Pathology and Forensic Medicine"
"0036301722","2734","MEDI","Pathology and Forensic Medicine"
"0036019064","1313","BIOC","Molecular Medicine"
"0036019064","3000","PHAR","Pharmacology, Toxicology and Pharmaceutics (all)"
"0036244517","1307","BIOC","Cell Biology"
"0036245352","2724","MEDI","Internal Medicine"
"0036225236","3004","PHAR","Pharmacology"
"0036234952","2700","MEDI","Medicine (all)"
"0036546617","2720","MEDI","Hematology"
"0035746356","1306","BIOC","Cancer Research"
"0035746356","2700","MEDI","Medicine (all)"
"0035746356","2730","MEDI","Oncology"
"0035746557","1306","BIOC","Cancer Research"
"0035749620","1306","BIOC","Cancer Research"
"0035749620","2730","MEDI","Oncology"
"0035383005","1306","BIOC","Cancer Research"
"0035383005","2730","MEDI","Oncology"
"0036511584","2734","MEDI","Pathology and Forensic Medicine"
"0036511584","2741","MEDI","Radiology, Nuclear Medicine and Imaging"
"0036511584","2746","MEDI","Surgery"
"0036511584","3500","DENT","Dentistry (all)"
"0036217230","1306","BIOC","Cancer Research"
"0036217230","2720","MEDI","Hematology"
"0036207093","2720","MEDI","Hematology"
"0036125395","2720","MEDI","Hematology"
"0037087531","1306","BIOC","Cancer Research"
"0037087531","2730","MEDI","Oncology"
"0037075889","1304","BIOC","Biophysics"
"0037075889","1306","BIOC","Cancer Research"
"0037075889","2730","MEDI","Oncology"
"0036189039","1306","BIOC","Cancer Research"
"0036189039","2730","MEDI","Oncology"
"0036189039","3004","PHAR","Pharmacology"
"0036216405","2700","MEDI","Medicine (all)"
"0036240251","1306","BIOC","Cancer Research"
"0036240251","2703","MEDI","Anesthesiology and Pain Medicine"
"0036240251","2720","MEDI","Hematology"
"0035496607","1306","BIOC","Cancer Research"
"0036179862","1307","BIOC","Cell Biology"
"0036179862","2700","MEDI","Medicine (all)"
"0037186924","2700","MEDI","Medicine (all)"
"0036139993","1306","BIOC","Cancer Research"
