drug,pmid,,,,,,unique_pmid
alemtuzumab,12446434,,,,,,12446434
alemtuzumab,12180493,,,,,,12180493
alemtuzumab,12180492,,,,,,12180492
alemtuzumab,12180491,,,,,,12180491
alemtuzumab,12180489,,,,,,12180489
alemtuzumab,12180488,,,,,,12180488
alemtuzumab,12180487,,,,,,12180487
alemtuzumab,12113137,,,,,,12113137
alemtuzumab,12113063,,,,,,12113063
alemtuzumab,12087878,,,,,,12087878
alemtuzumab,11842484,,,,,,11842484
alemtuzumab,11842392,,,,,,11842392
alemtuzumab,11760553,,,,,,11760553
alemtuzumab,11728236,,,,,,11728236
alemtuzumab,11585011,,,,,,11585011
alemtuzumab,11583062,,,,,,11583062
alemtuzumab,11375079,,,,,,11375079
imatinib,12633529,,,,,,12633529
imatinib,12611069,,,,,,12611069
imatinib,12446421,,,,,,12446421
imatinib,12401703,,,,,,12401703
imatinib,12191616,,,,,,12191616
imatinib,12191602,,,,,,12191602
imatinib,12122963,,,,,,12122963
imatinib,12120282,,,,,,12120282
imatinib,12094372,,,,,,12094372
imatinib,12094370,,,,,,12094370
imatinib,12087878,,,,,,12086885
imatinib,12086885,,,,,,12086882
imatinib,12086882,,,,,,12075401
imatinib,12075401,,,,,,12057124
imatinib,12057124,,,,,,12057094
imatinib,12057094,,,,,,12054102
imatinib,12054102,,,,,,12052199
imatinib,12052199,,,,,,12012318
imatinib,12012318,,,,,,12004080
imatinib,12004080,,,,,,11993784
imatinib,11993784,,,,,,11989613
imatinib,11989613,,,,,,11989608
imatinib,11989608,,,,,,11976731
imatinib,11976731,,,,,,11961207
imatinib,11961207,,,,,,11960697
imatinib,11960697,,,,,,11960387
imatinib,11960387,,,,,,11960334
imatinib,11960334,,,,,,11927282
imatinib,11927282,,,,,,11925533
imatinib,11925533,,,,,,11919387
imatinib,11919387,,,,,,11901302
imatinib,11901302,,,,,,11900253
imatinib,11900253,,,,,,11896121
imatinib,11896121,,,,,,11870247
imatinib,11870247,,,,,,11818480
imatinib,11818480,,,,,,11792120
imatinib,11792120,,,,,,11773186
imatinib,11773186,,,,,,11740805
imatinib,11740805,,,,,,11740804
imatinib,11740804,,,,,,11740803
imatinib,11740803,,,,,,11740802
imatinib,11740802,,,,,,11740801
imatinib,11740801,,,,,,11734109
imatinib,11734109,,,,,,11718431
imatinib,11718431,,,,,,11717816
imatinib,11717816,,,,,,11576833
imatinib,11576833,,,,,,11574762
imatinib,11574762,,,,,,11553417
imatinib,11553417,,,,,,11509034
imatinib,11509034,,,,,,11526600
imatinib,11526600,,,,,,11526599
imatinib,11526599,,,,,,11526598
imatinib,11526598,,,,,,11526597
imatinib,11526597,,,,,,11526596
imatinib,11526596,,,,,,11526595
imatinib,11526595,,,,,,11504279
imatinib,11504279,,,,,,11454136
imatinib,11454136,,,,,,11409908
imatinib,11409908,,,,,,18473971
nelarabine,18473971,,,,,,16925505
nelarabine,16925505,,,,,,16922610
nelarabine,16922610,,,,,,16894400
nelarabine,16894400,,,,,,16719832
nelarabine,16719832,,,,,,17692027
sunitinib,17692027,,,,,,17627159
sunitinib,17627159,,,,,,17607922
sunitinib,17607922,,,,,,17547470
sunitinib,17547470,,,,,,17537667
sunitinib,17537667,,,,,,17520585
sunitinib,17520585,,,,,,17419949
sunitinib,17419949,,,,,,17419150
sunitinib,17419150,,,,,,17402790
sunitinib,17402790,,,,,,17348846
sunitinib,17348846,,,,,,17263126
sunitinib,17263126,,,,,,17255307
sunitinib,17255307,,,,,,17255305
sunitinib,17255305,,,,,,17239287
sunitinib,17239287,,,,,,17239282
sunitinib,17239282,,,,,,17239281
sunitinib,17239281,,,,,,17239280
sunitinib,17239280,,,,,,17208434
sunitinib,17208434,,,,,,17206887
sunitinib,17206887,,,,,,17189392
sunitinib,17189392,,,,,,17181490
sunitinib,17181490,,,,,,17181489
sunitinib,17181489,,,,,,17158546
sunitinib,17158546,,,,,,17139319
sunitinib,17139319,,,,,,17139244
sunitinib,17139244,,,,,,17135925
sunitinib,17135925,,,,,,17103252
sunitinib,17103252,,,,,,17092282
sunitinib,17092282,,,,,,17074668
sunitinib,17074668,,,,,,17064223
sunitinib,17064223,,,,,,17045086
sunitinib,17045086,,,,,,17032555
sunitinib,17032555,,,,,,17026800
sunitinib,17026800,,,,,,16974118
sunitinib,16974118,,,,,,16939387
sunitinib,16939387,,,,,,16905978
sunitinib,16905978,,,,,,16880234
sunitinib,16880234,,,,,,16860997
sunitinib,16860997,,,,,,16859575
sunitinib,16859575,,,,,,16858179
sunitinib,16858179,,,,,,16850127
sunitinib,16850127,,,,,,16845442
sunitinib,16845442,,,,,,16772838
sunitinib,16772838,,,,,,16672131
sunitinib,16672131,,,,,,16640800
sunitinib,16640800,,,,,,16634693
sunitinib,16634693,,,,,,16608985
sunitinib,16608985,,,,,,16507216
sunitinib,16507216,,,,,,16465192
sunitinib,16465192,,,,,,16418310
sunitinib,16418310,,,,,,26576187
ramucirumab,26576187,,,,,,26508880
ramucirumab,26508880,,,,,,26451083
ramucirumab,26451083,,,,,,26422782
ramucirumab,26422782,,,,,,26413377
ramucirumab,26413377,,,,,,26359224
ramucirumab,26359224,,,,,,26251608
