"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"TREATMENT OF MULTIPLE SCLEROSIS BY ALEMTUZUMAB INDUCTION FOLLOWED BY LAQUINIMOD THERAPY","US2016296513 (A1)","2016-10-13","KNAPPERTZ VOLKER [US]","KNAPPERTZ VOLKER [US];  TEVA PHARMA [IL]","A61K31/4704; A61K9/00; A61K9/28; A61K39/395; A61K45/06; C07K16/28","A61K31/4704; C07K16/2893; A61K2039/505; A61K2039/545; A61K39/3955; A61K45/06; A61K9/0053; A61K9/28; C07K2317/24; A61K31/4704; A61K2300/00","US201615190027","20160622","US201615190027 20160622; US201614909042 20160129; WO2014US49220 20140731; US201361920085P 20131223; US201361861354P 20130801","","","","","","","","","","","","","",""
"Treatment of multiple sclerosis (MS) with Campath-1H","AU2016204844 (A1)","2016-07-28","SACHSE ANDREAS;  MARGOLIN DAVID HARRIS","ALCAFLEU MAN GMBH & CO KG;  GENZYME CORP","C07K16/28; A61K39/395","","AU20160204844","20160711","AU20130206718 20130705; AU20160204844 20160711","","","","","","","","","","","","","",""
"TREATMENT OF MULTIPLE SCLEROSIS (MS) WITH CAMPATH-1H","EP3028718 (A1)","2016-06-08","SACHSE ANDREAS [DE];  MARGOLIN DAVID HARRIS [US]","ALCAFLEU MAN GMBH & CO KG [DE];  GENZYME CORP [US]","A61K39/395; C07K16/28","C07K16/2893; A61K2039/505; A61K2039/545; C07K2317/24","EP20150191491","20070911","US20060844251P 20060913; EP20060090169 20060914; EP20070802348 20070911; EP20150191491 20070911","WO9310817 (A1)","XP002460984; XP002756875; XP002460983; XP002460982","","","","","","","US5846534 (A); US6120766 (A)","","","","",""
"SUPERIOR EFFICACY OF CD37 ANTIBODIES IN CLL BLOOD SAMPLES","US2015266967 (A1)","2015-09-24","STILGENBAUER STEPHAN [DE];  ZENZ THORSTEN [DE];  HEIDER KARL-HEINZ [AT]","BOEHRINGER INGELHEIM INT [DE]","C07K16/28","C07K16/2896; A61K2039/505; C07K2317/24; C07K2317/73; C07K2317/732; C07K2317/92; A61K39/39558; C07K2317/565","US201514684928","20150413","US201514684928 20150413; EP20100169795 20100716; EP20100175586 20100907; US201313871345 20130426; US201113182471 20110714","US2008279850 (A1)","","","","","","","","","","","","",""
"METHODS RELATED TO ALEMTUZUMAB","US2015125848 (A1)","2015-05-07","ROBBLEE JOHN [US];  COLLINS BRIAN EDWARD [US];  KAUNDINYA GANESH [US];  BOSQUES CARLOS J [US]","MOMOENT PHARMACEUTICALS INC [US];  MOMENTA PHARMACEUTICALS INC [US]","C07K16/28","C07K16/2893; C07K2317/24; C07K2317/41","US201314403838","20130531","US201314403838 20130531; US201361783064P 20130314; US201261654532P 20120601; WO2013US43667 20130531","US2009220520 (A1); WO9730087 (A1); US2006008415 (A1)","","","","","","","","","","","","",""
"DELAMINATION RESISTANT PHARMACEUTICAL GLASS CONTAINERS CONTAINING ACTIVE PHARMACEUTICAL INGREDIENTS","US2014341891 (A1)","2014-11-20","WEEKS WENDELL P [US];  SCHAUT ROBERT ANTHONY [US];  DEMARTINO STEVEN EDWARD [US];  PEANASKY JOHN STEPHEN [US]","CORNING INC [US]","A61J1/00; A61K31/166; A61K31/4425; A61K31/727; A61K38/22; A61K38/28; B65D1/00; C03C3/087; C03C3/091; C03C4/20; C07K16/24; C07K16/28; C07K16/40","A61K31/166; A61K31/4425; A61K31/727; C03C3/087; C03C3/091; C03C4/20; C03C21/002; A61K38/22; A61K38/28; A61J1/00; B65D1/00; C07K16/248; C07K16/2893; C07K16/40; C07K2317/94","US201414259286","20140423","US201414259286 20140423; US201361815717P 20130424","US2006014670 (A1); US6794323 (B2); US2011274916 (A1)","","","","","","","","","","","","",""
"Treatment of multiple sclerosis (MS)","TW201424751 (A)","2014-07-01","SACHSE ANDREAS [DE];  MARGOLIN DAVID H [US]","ALCAFLEU MAN GMBH & CO KG [DE];  GENZYME CORP [US]","A61K39/395; C07K16/28; A61P25/00; A61P37/00","","TW20130141784","20070910","US20060844251P 20060913; EP20060090169 20060914","","","","","","","","","","","","","",""
"Medicaments, uses and methods","GB2526139 (A)","2015-11-18","FRENDEUS BJORN [SE];  TEIGE INGRID [SE];  RTENSSON LINDA MÃ [SE];  CRAGG MARK [GB];  ROGHANIAN ALI [GB]","BIOLNVENT INTERNAT AB [SE]","A61K39/395; C07K16/28","C07K16/283; C07K16/2887; C07K16/2893; C07K16/30; A61K2039/507; A61K2039/55; C07K2317/21; C07K2317/33; C07K2317/73; C07K2317/732; C07K2317/75; C07K2317/76; C07K2317/77; C07K2317/92; C07K2317/94; A61K39/39558; C07K16/283; C07K16/2887","GB20140008673","20140515","GB20140008673 20140515","WO2012022985 (A1); WO2008140603 (A2); WO2008002933 (A2); WO2005018669 (A1); US2006134709 (A1)","","","","","","","","","","","","",""
"COMBINATION THERAPY","JP2013166763 (A)","2013-08-29","MOLLER NIELS PETER HUNDAHL;  SKAK KRESTEN;  MUELLER JORN ROLAND","NOVO NORDISK AS","A61K39/395; A61K38/00; A61K38/20; A61K47/48; A61P31/12; A61P35/00; A61P35/02; A61P35/04; A61P43/00","A61K38/20; A61K45/06; A61K38/20; A61K2300/00","JP20130080128","20130408","DK20030001529 20031017; US20030513422P 20031022; DK20040000707 20040504; US20040569566P 20040510","","","WO03082212 (A2); WO03028630 (A2)","","","","","","","","","","",""
"PROTEIN FORMULATIONS AND METHODS OF MAKING SAME","NZ585702 (A)","2013-08-30","TSCHOEPE MARKUS;  KRAUSE HANS-JUERGEN;  BARTL ANNIKA;  KALETA KATHARINA;  FRAUNHOFER WOLFGANG","ABBOTT LAB","A61K38/00; A61K38/01; A61K38/02","A61K38/21; A61K38/46; A61K38/4893; A61K38/50; A61K39/39591; A61K9/0019; A61K9/08; A61K9/19; A61K39/395; A61K39/3955","NZ20080585702","20081128","US20070004992P 20071130; WO2008US85066 20081128","","","","","","","","","","","","","",""
