auth_sid,full_name,last_name,first_name,last_first_initial,doc_count_test,doc_count_total,auth_rrbr,auth_pir
10042644900,carter vaughan,carter,vaughan,carter v,1,27,0.037037037037037,0
10044423900,khan mohammed,khan,mohammed,khan m,2,6,0.333333333333333,4
10145104100,bene lászló,bene,lászló,bene l,1,40,0.025,3
10240761000,sheldon edward l.,sheldon,edward l,sheldon e,1,3,0.333333333333333,11
10243218600,duquenne clotilde,duquenne,clotilde,duquenne c,1,23,0.0434782608695652,10
10243885600,kapoor raju p.,kapoor,raju p,kapoor r,1,46,0.0217391304347826,11
10244864900,sigler paul b.,sigler,paul b,sigler p,1,49,0.0204081632653061,22
10341380000,takeda mitsuaki,takeda,mitsuaki,takeda m,1,1,1,1
10341467600,todd anthony w.,todd,anthony w,todd a,1,8,0.125,1
10541186600,bauer robert j.,bauer,robert j,bauer r,1,28,0.0357142857142857,5
10739989100,ramsey-goldman rosalind ramsey,ramsey-goldman,rosalind ramsey,ramsey-goldman r,1,246,0.0040650406504065,2
10839751200,orbach hedi,orbach,hedi,orbach h,1,32,0.03125,1
10840165600,rojas rafael j.,rojas,rafael j,rojas r,1,34,0.0294117647058824,28
11140620300,joubert jacques r.,joubert,jacques r,joubert j,1,19,0.0526315789473684,2
11239709600,bartholomew michelle a.,bartholomew,michelle a,bartholomew m,1,5,0.2,63
11339976400,huang xuefeng,huang,xuefeng,huang x,1,86,0.0116279069767442,1
11539843700,lindenmaier werner,lindenmaier,werner,lindenmaier w,1,32,0.03125,11
11638848200,chaudhry absan a.,chaudhry,absan a,chaudhry a,2,20,0.1,5
11838883300,raymond christina k.,raymond,christina k,raymond c,1,4,0.25,1
12139338100,verdun elisabetta,verdun,elisabetta,verdun e,1,33,0.0303030303030303,2
12142655800,vech claire,vech,claire,vech c,1,2,0.5,1
12142924100,sato junko,sato,junko,sato j,1,6,0.166666666666667,1
12143029000,villa marcelo,villa,marcelo,villa m,1,11,0.0909090909090909,1
12647371700,desplancq dominique,desplancq,dominique,desplancq d,1,19,0.0526315789473684,1
12762538800,moran jennifer l.,moran,jennifer l,moran j,1,84,0.0119047619047619,1
12763836100,stevens fred j.,stevens,fred j,stevens f,2,72,0.0277777777777778,12
12767466400,bakke antony c.,bakke,antony c,bakke a,1,34,0.0294117647058824,2
12772406600,galatowicz grazyna,galatowicz,grazyna,galatowicz g,1,13,0.0769230769230769,25
12772724300,matsue kosei,matsue,kosei,matsue k,1,73,0.0136986301369863,22
