eid_set_B_citing	eid_set_C_cited	cited_is_in_B	cited_is_in_A
46526	1587390	1	0
46526	2701928	1	0
46526	3769049	1	1
46526	19461994	1	0
46526	21818675	1	0
46526	22397969	1	0
46526	22534756	1	0
46526	23042283	1	0
46526	23225017	1	0
46526	23716790	1	0
46526	25273561	1	0
46526	25897173	1	0
46526	26240806	1	1
46526	26244229	1	0
46526	26334521	1	0
46526	26582682	1	0
46526	27193060	1	0
46526	27529014	1	0
46526	28103275	1	1
46526	28926048	1	0
46526	29151113	1	0
46526	30797114	1	0
46526	30801002	1	0
46526	30849223	1	0
46526	31560775	1	1
46526	31568809	1	0
46526	31911439	1	0
46526	84920325457	1	1
82758	21678703	1	0
82758	25942245	1	0
82758	27305687	1	0
82758	27461317	1	0
82758	28101039	1	0
82758	28177398	1	0
82758	28180585	1	0
82758	28227284	1	0
82758	28245832	1	0
82758	28269436	1	0
82758	28288927	1	0
82758	28340167	1	0
82758	28535120	1	0
82758	28928422	1	0
82758	29071585	1	0
82758	29076731	1	0
82758	29133646	1	0
82758	29151248	1	0
82758	29151944	1	0
507680	1566032	1	0
507680	2816688	1	0
507680	13631780	1	0
507680	22559048	1	0
507680	23649847	1	1
507680	25294115	1	0
507680	25727974	1	0
507680	25782993	1	0
507680	25804251	1	1
507680	26502058	1	1
507680	26577074	1	1
507680	27199724	1	1
507680	27331423	1	1
507680	27449971	1	0
507680	27986713	1	0
507680	28048464	1	0
507680	28813825	1	0
507680	29040783	1	0
507680	71849104860	1	0
508290	19887799	1	0
508290	25183708	1	0
508290	27141519	1	0
508290	28301313	1	0
508290	32561502	1	0
508290	79960655760	1	0
649842	771669	1	0
649842	952473	1	0
649842	1210234	1	0
649842	1280368	1	0
649842	1720577	1	0
649842	23140814	1	0
649842	26597444	1	1
649842	84889120137	1	0
649842	84944812409	1	1
770628	24353079	1	0
770628	25941970	1	0
770628	26729563	1	0
770628	28031970	1	0
770628	28176656	1	0
770628	28308632	1	0
770628	28821825	1	0
770628	28861975	1	0
770628	28903939	1	1
770628	28949152	1	0
770628	28966091	1	0
770628	28970060	1	0
770628	28997995	1	0
770628	29020011	1	0
770628	29068458	1	0
770628	29664599	1	0
770628	29838995	1	0
770628	29886947	1	0
770628	29937270	1	0
770628	30006103	1	1
770628	30240073	1	0
770628	30266857	1	0
770628	30272486	1	0
770628	30470416	1	0
770628	30951832	1	0
770628	31027528	1	0
770628	31091771	1	0
770628	31131886	1	0
770628	31202296	1	0
770628	31568550	1	0
770628	31571205	1	0
770628	31571310	1	0
770628	13344249764	1	0
770628	16044363695	1	0
917638	23850178	1	0
917638	24556150	1	1
917638	26649231	1	0
917638	26906877	1	0
917638	27488624	1	0
917638	28272110	1	0
917638	28817877	1	0
917638	28869690	1	0
917638	36849148382	1	0
1111928	27030341	1	0
1111928	27253556	1	0
1160175	499754	1	0
1160175	972361	1	0
1160175	18719041	1	0
1160175	19189626	1	0
1160175	20481078	1	0
1160175	21061819	1	1
1160175	21164335	1	0
1160175	21285015	1	0
1160175	21691506	1	0
1160175	21772567	1	0
1160175	22262016	1	1
1160175	22470374	1	0
1160175	23047980	1	0
1160175	23265475	1	0
1160175	23614572	1	0
1160175	23659741	1	0
1160175	23864495	1	1
1160175	24314958	1	0
1160175	24341614	1	1
1160175	24352945	1	0
1160175	24468809	1	0
1160175	24520105	1	0
1160175	25584633	1	0
1160175	25731906	1	0
1160175	25789143	1	0
1160175	25854252	1	0
1160175	26028852	1	1
1160175	26339245	1	0
1160175	26352832	1	0
1160175	26354658	1	0
1160175	26552096	1	0
1160175	26552179	1	0
1160175	26586054	1	1
