"PubSID","SID","FullName","LastName","FirstName","Initials","DocCount"
"0033608388","7003690687","Novitzky N.","Novitzky","Nicolás","N.","56"
"0033608388","7202874461","Thomas V.","Thomas","Valda L.","V.L.","19"
"0033608388","7102753706","HALE G.","HALE","Geoff Y.","G.Y.","139"
"0033608388","55885251900","Waldmann H.","Waldmann","Herman","H.","240"
"0030877079","7402307877","Mehta J.","Mehta","Jayesh B.","J.B.","245"
"0030877079","24520052700","POWLES R.","POWLES","Ray L.","R.L.","181"
"0030877079","7005698228","Treleaven J.","Treleaven","Jennifer G.","J.G.","135"
"0030877079","7102440556","Horton C.","Horton","Clive M.","C.M.","54"
"0030877079","7007092812","SHEPHERD V.","SHEPHERD","Valerie B.","V.B.","14"
"0030877079","7102753706","HALE G.","HALE","Geoff Y.","G.Y.","139"
"0030877079","55885251900","Waldmann H.","Waldmann","Herman","H.","240"
"0030877079","7201858212","Singhal S.","Singhal","Seema B.","S.B.","191"
"0030906149","7103021469","Taylor V.","Taylor","Vanessa C.","V.C.","19"
"0030906149","7102465260","Sims M.","Sims","Martin J.","M.J.","10"
"0030906149","7005098154","Brett S.","Brett","Sara J.","S.J.","18"
"0030906149","7201475745","Field M.","Field","Mark C.","M.C.","161"
"0030177999","23005377100","Moreau T.","Moreau","Thibault","T.","151"
"0030177999","7005609267","Coles A.","Coles","Alasdair John","A.J.","94"
"0030177999","7005134332","Wing M.","Wing","Mark","M.","25"
"0030177999","35977502500","Thorpe J.","Thorpe","John W.","J.W.","21"
"0030177999","36077375900","Miller D.","Miller","David H.","D.H.","620"
"0030177999","8697930000","Moseley J.","Moseley","J.","J.","1"
"0030177999","6507961297","Issacs J.","Issacs","J. D.","J.D.","1"
"0030177999","7102753706","HALE G.","HALE","Geoff Y.","G.Y.","139"
"0030177999","55438594300","Clayton D.","Clayton","David G.","D.G.","106"
"0030177999","7006633687","Scolding N.","Scolding","Neil J.","N.J.","174"
"0030177999","7201458382","Waldmann H.","Waldmann","Herman","H.","32"
"0030177999","26643344000","Compston A.","Compston","Alastair D.","A.D.","482"
"0028787543","25943775400","Isaacs J.","Isaacs","John Dudley","J.D.","203"
"0028787543","7102753706","HALE G.","HALE","Geoff Y.","G.Y.","139"
"0028787543","55885251900","Waldmann H.","Waldmann","Herman","H.","240"
"0028787543","7103296976","Dick A.","Dick","Andrew David","A.D.","239"
"0028787543","7202566558","Haynes R.","Haynes","Richard John","R.J.","28"
"0028787543","7201453754","Forrester J.","Forrester","John V.","J.V.","258"
"0028787543","7402739570","WATSON P.","WATSON","Peter G.","P.G.","53"
