"PubSID","ISSN","Type","Name","CoverDate","Volume","Issue","Pages"
"0033608388","00411337","Journal","Transplantation","1999-02-27","67","4","620-626"
"0030877079","10428194","Journal","Leukemia and Lymphoma","1997-09-09","25","5-6","479-486"
"0030906149","02646021","Journal","Biochemical Journal","1997-03-15","322","3","919-925"
"0030177999","13524585","Journal","Multiple Sclerosis","1996-12-01","1","6","357-365"
"0028787543","00071161","Journal","British Journal of Ophthalmology","1995-01-01","79","11","1054-1055"
"0028137788","02683369","Journal","Bone Marrow Transplantation","1994-02-23","13","1","97-99"
"0026348881","03044602","Journal","Annals of the Academy of Medicine Singapore","1991-12-01","20","4","503-506"
"0023760716","03630269","Journal","Hemoglobin","1988-01-01","12","5-6","609-614"
"0008389289","00278424","Journal","Proceedings of the National Academy of Sciences of the United States of America","1987-08-07","84","10","3439-3443"
"0023094919","13652141","Journal","British Journal of Haematology","1987-01-01","65","2","143-150"
"0035691895","10428194","Journal","Leukemia and Lymphoma","2001-12-01","42","6","1379-1393"
"0034825963","0272457X","Journal","Hybridoma","2001-10-01","20","3","145-148"
"0034655759","00411337","Journal","Transplantation","2000-04-15","69","7","1341-1347"
"0029042586","00221759","Journal","Journal of Immunological Methods","1995-07-17","184","1","29-38"
"0028910758","00032700","Journal","Analytical Chemistry","1995-03-22","67","5","835-842"
"0027215061","0392856X","Journal","Clinical and Experimental Rheumatology","1993-04-27","11","SUPPL. 8",""
"0024314759","03008126","Journal","Infection","1989-05-01","17","3","124-130"
"0023621441","00221007","Journal","Journal of Experimental Medicine","1987-12-01","166","5","1351-1361"
"0022357518","00221767","Journal","Journal of Immunology","1985-12-01","134","5","3056-3061"
"0020837148","07351313","Journal","Molecular biology &amp; medicine","1983-10-01","1","3","305-319"
"0034754677","14653249","Journal","Cytotherapy","2001-11-20","3","3","165-173"
"0035075989","10428194","Journal","Leukemia and Lymphoma","2001-04-24","41","1-2","77-87"
"0035226390","15204391","Journal","Hematology / the Education Program of the American Society of Hematology. American Society of Hematology. Education Program","2001-01-01","","","221-240"
"0030897222","0732183X","Journal","Journal of Clinical Oncology","1997-04-01","15","4","1567-1574"
"0029893681","00192805","Journal","Immunology","1996-07-04","88","2","183-190"
"0028126777","09670149","Journal","Therapeutic Immunology","1994-11-14","1","5","247-255"
"0023901347","00221759","Journal","Journal of Immunological Methods","1988-01-21","106","1","127-133"
"0023027621","00212180","Journal","Israel Journal of Medical Sciences","1986-12-01","22","3-4","264-267"
"0019989719","02716801","Journal","Journal of Molecular and Applied Genetics","1982-01-01","1","4","327-341"
"0017681196","00278424","Journal","Proceedings of the National Academy of Sciences of the United States of America","1977-12-01","74","12","5463-5467"
"0032867415","03906078","Journal","Haematologica","1999-09-01","84","9","839-843"
"0033559501","00221767","Journal","Journal of Immunology","1999-03-15","162","6","3663-3671"
"0025794279","00278424","Journal","Proceedings of the National Academy of Sciences of the United States of America","1991-05-15","88","10","4181-4185"
"0025819151","02683369","Journal","Bone Marrow Transplantation","1991-01-01","7","4","269-273"
"0025982092","10981101","Journal","Journal of Clinical Apheresis","1991-01-01","6","1","54-58"
"0025319831","00411337","Journal","Transplantation","1990-01-01","49","3","622-630"
"0023795555","03401162","Journal","Immunitat und Infektion","1988-01-01","16","4","143-147"
"0022495404","00411337","Journal","Transplantation","1986-01-01","42","3","308-311"
"0022344325","00367672","Journal","Schweizerische Medizinische Wochenschrift","1985-12-01","115","43","1517-1518"
"0034759325","14653249","Journal","Cytotherapy","2001-11-20","3","3","233-242"
"0032918226","13524585","Journal","Multiple Sclerosis","1999-04-01","5","2","110-120"
"0030707662","02683369","Journal","Bone Marrow Transplantation","1997-10-01","20","7","525-531"
"0030855804","0315162X","Journal","Journal of Rheumatology","1997-09-03","24","7","1448-1449"
"0030965992","00219258","Journal","Journal of Biological Chemistry","1997-06-20","272","25","15804-15816"
"0030453977","00219738","Journal","Journal of Clinical Investigation","1996-12-15","98","12","2819-2826"
"0027194472","02646021","Journal","Biochemical Journal","1993-09-01","293","3","633-640"
"0023197452","00411337","Journal","Transplantation","1987-01-01","43","4","501-505"
"0023029942","00223417","Journal","Journal of Pathology","1986-12-01","150","3","213-221"
"0022300310","02612429","Journal","Cancer Surveys","1985-12-01","4","1","213-244"
"0035412369","00064971","Journal","Blood","2001-07-01","98","1","29-35"
"0033522647","00222836","Journal","Journal of Molecular Biology","1999-06-04","289","2","293-301"
"0031757274","0732183X","Journal","Journal of Clinical Oncology","1998-10-01","16","10","3257-3263"
"0031945659","02683369","Journal","Bone Marrow Transplantation","1998-04-01","21","7","679-686"
"0029898331","07317085","Journal","Journal of Pharmaceutical and Biomedical Analysis","1996-03-01","14","5","601-608"
"0028972037","00064971","Journal","Blood","1995-10-15","86","8","3241-3246"
"0027749164","02683369","Journal","Bone Marrow Transplantation","1993-12-01","12","SUPPL. 3",""
"0024491459","0015556X","Journal","Folia haematologica : internationales Magazin fur klinische und morphologische Blutforschung","1989-01-01","116","1","97-106"
"0022876723","01452126","Journal","Leukemia Research","1986-01-01","10","12","1469-1475"
"0019119230","00222836","Journal","Journal of Molecular Biology","1980-12-01","141","4","369-391"
"0033793501","00371963","Journal","Seminars in Hematology","2000-10-30","37","4 SUPPL. 7","34-42"
"0034153968","03014894","Journal","Nippon Geka Gakkai zasshi","2000-01-01","101","3","301-306"
"0033209751","00371963","Journal","Seminars in Hematology","1999-10-29","36","4 SUPPL. 5","12-17"
"0027240401","00064971","Journal","Blood","1993-08-06","82","3","807-812"
"0024576799","02683369","Journal","Bone Marrow Transplantation","1989-01-01","4","1","55-61"
"0023691376","15214141","Journal","European Journal of Immunology","1988-01-01","18","10","1507-1514"
"0022614916","13652141","Journal","British Journal of Haematology","1986-01-01","62","3","421-430"
"0021826932","00280836","Journal","Nature","1985-12-01","314","6008","268-270"
"0020051098","00219258","Journal","Journal of Biological Chemistry","1982-01-01","257","3","1516-1522"
"0034754598","14653249","Journal","Cytotherapy","2001-11-20","3","3","135-136"
"0032413976","10656251","Journal","Current Opinion in Hematology","1998-12-01","5","4","237-243"
"0031020558","00071048","Journal","British Journal of Haematology","1997-03-04","96","3","644-646"
"9544240330","00314005","Journal","Pediatrics","1996-09-01","98","3","420-428"
"0029788549","02683369","Journal","Bone Marrow Transplantation","1996-08-01","18","2","475-478"
"0029670929","09538178","Journal","International Immunology","1996-03-12","8","3","325-334"
"0030029341","00043591","Journal","Arthritis and Rheumatism","1996-01-31","39","1","181-182"
"0029157186","00071161","Journal","British Journal of Ophthalmology","1995-01-01","79","7","687-691"
"0027991085","10616128","Journal","Journal of Hematotherapy","1994-09-30","3","1","15-31"
"0025166875","03044602","Journal","Annals of the Academy of Medicine Singapore","1990-01-01","19","2","142-146"
"37649012732","0732183X","Journal","Journal of Clinical Oncology","2007-12-10","25","35","5553-5555"
"0035138229","09678298","Journal","Current Opinion in Investigational Drugs","2001-02-06","2","1","139-160"
"0033256366","09553886","Journal","Transfusion science","1999-12-01","21","3","181-184"
"0032169555","08892229","Journal","AIDS Research and Human Retroviruses","1998-09-01","14","13","1187-1198"
"9844258325","00099104","Journal","Clinical and Experimental Immunology","1997-11-12","110","2","158-166"
"0028887830","15290131","Journal","Arthritis &amp; Rheumatism","1995-01-01","38","2","254-258"
"0027861106","0301472X","Journal","Experimental Hematology","1993-12-01","21","11","1427-1435"
"0026590722","02683369","Journal","Bone Marrow Transplantation","1992-05-25","9","4","255-261"
