"PubSID","Code","Abbr","Name"
"0033608388","2403","IMMU","Immunology"
"0033608388","2747","MEDI","Transplantation"
"0030877079","2730","MEDI","Oncology"
"0030877079","1306","BIOC","Cancer Research"
"0030877079","2720","MEDI","Hematology"
"0030906149","1303","BIOC","Biochemistry"
"0030177999","2728","MEDI","Neurology (clinical)"
"0028787543","2731","MEDI","Ophthalmology"
"0028787543","2706","MEDI","Critical Care and Intensive Care Medicine"
"0028787543","2711","MEDI","Emergency Medicine"
"0028137788","2747","MEDI","Transplantation"
"0028137788","2720","MEDI","Hematology"
"0026348881","2700","MEDI","Medicine (all)"
"0023760716","2704","MEDI","Biochemistry (medical)"
"0023760716","1303","BIOC","Biochemistry"
"0023760716","2720","MEDI","Hematology"
"0023760716","2716","MEDI","Genetics (clinical)"
"0023760716","1308","BIOC","Clinical Biochemistry"
"0008389289","1311","BIOC","Genetics"
"0008389289","1000","MULT","Multidisciplinary"
"0023094919","2720","MEDI","Hematology"
"0035691895","2730","MEDI","Oncology"
"0035691895","1306","BIOC","Cancer Research"
"0035691895","2720","MEDI","Hematology"
"0034825963","1311","BIOC","Genetics"
"0034825963","2403","IMMU","Immunology"
"0034655759","2403","IMMU","Immunology"
"0034655759","2747","MEDI","Transplantation"
"0029042586","2723","MEDI","Immunology and Allergy"
"0029042586","2403","IMMU","Immunology"
"0029042586","1305","BIOC","Biotechnology"
"0028910758","1602","CHEM","Analytical Chemistry"
"0027215061","2745","MEDI","Rheumatology"
"0027215061","2403","IMMU","Immunology"
"0024314759","2403","IMMU","Immunology"
"0024314759","2726","MEDI","Microbiology (medical)"
"0023621441","2403","IMMU","Immunology"
"0022357518","2403","IMMU","Immunology"
"0020837148","2716","MEDI","Genetics (clinical)"
"0020837148","1312","BIOC","Molecular Biology"
"0034754677","2403","IMMU","Immunology"
"0035075989","2730","MEDI","Oncology"
"0035075989","1306","BIOC","Cancer Research"
"0035075989","2720","MEDI","Hematology"
"0035226390","2700","MEDI","Medicine (all)"
"0030897222","2730","MEDI","Oncology"
"0030897222","1306","BIOC","Cancer Research"
"0029893681","2403","IMMU","Immunology"
"0028126777","2403","IMMU","Immunology"
"0023901347","2403","IMMU","Immunology"
"0023901347","1305","BIOC","Biotechnology"
"0023027621","2700","MEDI","Medicine (all)"
"0023027621","1502","CENG","Bioengineering"
"0019989719","1312","BIOC","Molecular Biology"
"0019989719","1311","BIOC","Genetics"
"0019989719","1300","BIOC","Biochemistry, Genetics and Molecular Biology (all)"
"0017681196","1311","BIOC","Genetics"
