"","id","pubdate","firstauthor","lastauthor","source","title","year"
"1","12171729","2001","Gennery AR","Abinun M","Cytotherapy","CAMPATH-1M T-cell depleted BMT for SCID: long-term follow-up of 19 children treated 1987-98 in a single center.","2001"
"2","12171727","2001","Lush RJ","Russell NH","Cytotherapy","Allogeneic stem-cell transplantation for lymphoproliferative disorders using BEAM-CAMPATH (+/- fludarabine) conditioning combined with post-transplant donor-lymphocyte infusion.","2001"
"3","12171726","2001","Kottaridis PD","MacKinnon S","Cytotherapy","In vivo CAMPATH-1H prevents GvHD following nonmyeloablative stem-cell transplantation.","2001"
"4","12171723","2001","Novitzky N","Rouskova A","Cytotherapy","Infectious complications following T-cell depleted hematopoietic stem-cell transplantation.","2001"
"5","12171714","2001","Rebello P","Hale G","Cytotherapy","Pharmacokinetics of CAMPATH-1H in BMT patients.","2001"
"6","11342359","2001 Mar","Khorana A","Czuczman MS","Leukemia &amp; lymphoma","A phase II multicenter study of CAMPATH-1H antibody in previously treated patients with nonbulky non-Hodgkin's lymphoma.","2001"
"7","11001893","2000 Oct 1","Kottaridis PD","Mackinnon S","Blood","In vivo CAMPATH-1H prevents graft-versus-host disease following nonmyeloablative stem cell transplantation.","2000"
"8","10773997","2000 Mar","Calne R","Waldmann H","Nihon Geka Gakkai zasshi","Prope tolerance with induction using Campath 1H and low-dose cyclosporin monotherapy in 31 cadaveric renal allograft recipients.","2000"
"9","10589966","1999 Nov 27","Calne R","Waldmann H","Transplantation","Campath IH allows low-dose cyclosporine monotherapy in 31 cadaveric renal allograft recipients.","1999"
"10","10568572","1999 Nov 13","Coles AJ","Compston A","Lancet (London, England)","Pulsed monoclonal antibody treatment and autoimmune thyroid disease in multiple sclerosis.","1999"
"11","10482259","1999 Sep","Coles AJ","Compston A","Annals of neurology","Monoclonal antibody treatment exposes three mechanisms underlying the clinical course of multiple sclerosis.","1999"
"12","10417050","1999 Jun","Wiesneth M","Kubanek B","Journal of hematotherapy","Comparison of T-cell-depleted BMT and PBPCT with respect to chimerism, graft rejection, and leukemic relapse.","1999"
"13","10390197","1999 Jul","Naparstek E","Slavin S","Experimental hematology","Engraftment of marrow allografts treated with Campath-1 monoclonal antibodies.","1999"
"14","10350345","1999 Jun","Thornton PD","Catovsky D","Leukemia &amp; lymphoma","High dose methyl prednisolone in refractory chronic lymphocytic leukaemia.","1999"
"15","9845524","1998 Dec 15","Hale G","Waldmann H","Blood","Improving the outcome of bone marrow transplantation by using CD52 monoclonal antibodies to prevent graft-versus-host disease and graft rejection.","1998"
"16","9779699","1998 Oct","Lundin J","Mellstedt H","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","CAMPATH-1H monoclonal antibody in therapy for previously treated low-grade non-Hodgkin's lymphomas: a phase II multicenter study. European Study Group of CAMPATH-1H Treatment in Low-Grade Non-Hodgkin's Lymphoma.","1998"
"17","9502298","1997 Dec","Walters MC","Sullivan KM","Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation","Collaborative multicenter investigation of marrow transplantation for sickle cell disease: current results and future directions.","1997"
"18","9235735","1997 Jul 7","de Nully Brown P","Nissen NI","Ugeskrift for laeger","[Campath-1H--a monoclonal antibody for treatment of non-Hodgkin's and chronic lymphatic leukemia].","1997"
"19","9215839","1997 Jul","Pawson R","Catovsky D","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","Treatment of T-cell prolymphocytic leukemia with human CD52 antibody.","1997"
"20","9195505","1997 Jun","Schnitzer TJ","Johnston JM","The Journal of rheumatology","Subcutaneous administration of CAMPATH-1H: clinical and biological outcomes.","1997"
"21","9250818","1997 May","Mehta J","Singhal S","Leukemia &amp; lymphoma","Autologous transplantation with CD52 monoclonal antibody-purged marrow for acute lymphoblastic leukemia: long-term follow-up.","1997"
"22","9193354","1997 Apr","Osterborg A","Mellstedt H","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","Phase II multicenter study of human CD52 antibody in previously treated chronic lymphocytic leukemia. European Study Group of CAMPATH-1H Treatment in Chronic Lymphocytic Leukemia.","1997"
"23","9049965","1996 Dec","Tang SC","Berinstein NL","Leukemia &amp; lymphoma","Immunosuppressive toxicity of CAMPATH1H monoclonal antibody in the treatment of patients with recurrent low grade lymphoma.","1996"
"24","8707338","1996 May","Brett S","Rapson N","Immunology","Repopulation of blood lymphocyte sub-populations in rheumatoid arthritis patients treated with the depleting humanized monoclonal antibody, CAMPATH-1H.","1996"
"25","8611450","1996 Apr","Osterborg A","Mellstedt H","British journal of haematology","Humanized CD52 monoclonal antibody Campath-1H as first-line treatment in chronic lymphocytic leukaemia.","1996"
"26","8722340","1996 Mar","Ringdén O","Pamphilon DH","Bone marrow transplantation","Transplantation of peripheral blood progenitor cells from unrelated donors.","1996"
"27","8671618","1996 Mar","Brett SJ","Rapson N","International immunology","Emergence of CD52-, glycosylphosphatidylinositol-anchor-deficient lymphocytes in rheumatoid arthritis patients following Campath-1H treatment.","1996"
"28","7488279","1995 Nov","Weinblatt ME","Manna VK","Arthritis and rheumatism","CAMPATH-1H, a humanized monoclonal antibody, in refractory rheumatoid arthritis. An intravenous dose-escalation study.","1995"
"29","7575719","1995 Sep","Jendro MC","Goronzy JJ","Arthritis and rheumatism","Emergence of oligoclonal T cell populations following therapeutic T cell depletion in rheumatoid arthritis.","1995"
"30","7575711","1995 Sep","Matteson EL","Johnston JM","Arthritis and rheumatism","Treatment of active refractory rheumatoid arthritis with humanized monoclonal antibody CAMPATH-1H administered by daily subcutaneous injection.","1995"
"31","7632956","1995 Aug 15","Hertenstein B","Schrezenmeier H","Blood","Emergence of CD52-, phosphatidylinositolglycan-anchor-deficient T lymphocytes after in vivo application of Campath-1H for refractory B-cell non-Hodgkin lymphoma.","1995"
