"","source","stype","target","ttype"
"1","12171729_ct","ct","12171729","pmid1"
"2","12171727_ct","ct","12171727","pmid1"
"3","12171726_ct","ct","12171726","pmid1"
"4","12171723_ct","ct","12171723","pmid1"
"5","12171714_ct","ct","12171714","pmid1"
"6","11342359_ct","ct","11342359","pmid1"
"7","11001893_ct","ct","11001893","pmid1"
"8","10773997_ct","ct","10773997","pmid1"
"9","10589966_ct","ct","10589966","pmid1"
"10","10568572_ct","ct","10568572","pmid1"
"11","10482259_ct","ct","10482259","pmid1"
"12","10417050_ct","ct","10417050","pmid1"
"13","10390197_ct","ct","10390197","pmid1"
"14","10350345_ct","ct","10350345","pmid1"
"15","9845524_ct","ct","9845524","pmid1"
"16","9779699_ct","ct","9779699","pmid1"
"17","9502298_ct","ct","9502298","pmid1"
"18","9235735_ct","ct","9235735","pmid1"
"19","9215839_ct","ct","9215839","pmid1"
"20","9195505_ct","ct","9195505","pmid1"
"21","9250818_ct","ct","9250818","pmid1"
"22","9193354_ct","ct","9193354","pmid1"
"23","9049965_ct","ct","9049965","pmid1"
"24","8707338_ct","ct","8707338","pmid1"
"25","8611450_ct","ct","8611450","pmid1"
"26","8722340_ct","ct","8722340","pmid1"
"27","8671618_ct","ct","8671618","pmid1"
"28","7488279_ct","ct","7488279","pmid1"
"29","7575719_ct","ct","7575719","pmid1"
"30","7575711_ct","ct","7575711","pmid1"
"31","7632956_ct","ct","7632956","pmid1"
"32","7655382_ct","ct","7655382","pmid1"
"33","7531440_ct","ct","7531440","pmid1"
"34","7920312_ct","ct","7920312","pmid1"
"35","7922004_ct","ct","7922004","pmid1"
"36","8324942_ct","ct","8324942","pmid1"
"37","1391938_ct","ct","1391938","pmid1"
"38","1356177_ct","ct","1356177","pmid1"
"39","2667209_ct","ct","2667209","pmid1"
"40","2480280_ct","ct","2480280","pmid1"
"41","alemtuzumab","root","12171729_ct","ct"
"42","alemtuzumab","root","12171727_ct","ct"
"43","alemtuzumab","root","12171726_ct","ct"
