"source","stype","target","ttype"
"alemtuzumab","root","13837954","pmid1"
"alemtuzumab","root","13099277","pmid1"
"alemtuzumab","root","4894426","pmid1"
"alemtuzumab","root","4325096","pmid1"
"alemtuzumab","root","1139039","pmid1"
"alemtuzumab","root","1172191","pmid1"
"alemtuzumab","root","766892","pmid1"
"alemtuzumab","root","322854","pmid1"
"alemtuzumab","root","350045","pmid1"
"alemtuzumab","root","82836","pmid1"
"alemtuzumab","root","505093","pmid1"
"alemtuzumab","root","6157721","pmid1"
"alemtuzumab","root","7427932","pmid1"
"alemtuzumab","root","6969092","pmid1"
"alemtuzumab","root","7237385","pmid1"
"alemtuzumab","root","6173751","pmid1"
"alemtuzumab","root","6349718","pmid1"
"alemtuzumab","root","6438435","pmid1"
"alemtuzumab","root","6482933","pmid1"
"alemtuzumab","root","6147548","pmid1"
"alemtuzumab","root","6377608","pmid1"
"alemtuzumab","root","6609729","pmid1"
"alemtuzumab","root","3871353","pmid1"
"alemtuzumab","root","3529524","pmid1"
"alemtuzumab","root","3529531","pmid1"
"alemtuzumab","root","3513818","pmid1"
"alemtuzumab","root","3332120","pmid1"
"alemtuzumab","root","3304736","pmid1"
"alemtuzumab","root","3296349","pmid1"
"alemtuzumab","root","3317855","pmid1"
"alemtuzumab","root","3655386","pmid1"
"alemtuzumab","root","2901280","pmid1"
"alemtuzumab","root","2901668","pmid1"
"alemtuzumab","root","3050711","pmid1"
"alemtuzumab","root","3278419","pmid1"
"alemtuzumab","root","3127726","pmid1"
"alemtuzumab","root","3291930","pmid1"
"alemtuzumab","root","2833957","pmid1"
"alemtuzumab","root","2904526","pmid1"
"alemtuzumab","root","2661437","pmid1"
"alemtuzumab","root","2667754","pmid1"
"alemtuzumab","root","2784491","pmid1"
"alemtuzumab","root","2713487","pmid1"
"alemtuzumab","root","2297567","pmid1"
"alemtuzumab","root","2180151","pmid1"
"alemtuzumab","root","2165283","pmid1"
"alemtuzumab","root","2099402","pmid1"
"alemtuzumab","root","1714949","pmid1"
"alemtuzumab","root","1904989","pmid1"
"alemtuzumab","root","2024863","pmid1"
"alemtuzumab","root","2070147","pmid1"
"alemtuzumab","root","1715244","pmid1"
"alemtuzumab","root","1742486","pmid1"
"alemtuzumab","root","1370636","pmid1"
"alemtuzumab","root","1354425","pmid1"
"alemtuzumab","root","1498329","pmid1"
"alemtuzumab","root","1644158","pmid1"
"alemtuzumab","root","1406793","pmid1"
"alemtuzumab","root","8099991","pmid1"
"alemtuzumab","root","7688956","pmid1"
"alemtuzumab","root","8499626","pmid1"
"alemtuzumab","root","7687326","pmid1"
"alemtuzumab","root","8324942","pmid1"
"alemtuzumab","root","7687895","pmid1"
"alemtuzumab","root","7686506","pmid1"
"alemtuzumab","root","8366859","pmid1"
"alemtuzumab","root","8353071","pmid1"
"alemtuzumab","root","8400226","pmid1"
"alemtuzumab","root","8211209","pmid1"
"alemtuzumab","root","8228826","pmid1"
"alemtuzumab","root","7685389","pmid1"
"alemtuzumab","root","8450856","pmid1"
"alemtuzumab","root","7680398","pmid1"
"alemtuzumab","root","7692295","pmid1"
"alemtuzumab","root","8235691","pmid1"
"alemtuzumab","root","8485477","pmid1"
"alemtuzumab","root","8094189","pmid1"
"alemtuzumab","root","7922004","pmid1"
"alemtuzumab","root","8057664","pmid1"
"alemtuzumab","root","7506951","pmid1"
"alemtuzumab","root","7524522","pmid1"
"alemtuzumab","root","7989933","pmid1"
"alemtuzumab","root","8054913","pmid1"
"alemtuzumab","root","8197602","pmid1"
"alemtuzumab","root","7525186","pmid1"
"alemtuzumab","root","7920312","pmid1"
"alemtuzumab","root","8069190","pmid1"
"alemtuzumab","root","8049645","pmid1"
"alemtuzumab","root","8120556","pmid1"
"alemtuzumab","root","7809937","pmid1"
"alemtuzumab","root","7540098","pmid1"
"alemtuzumab","root","7879212","pmid1"
"alemtuzumab","root","8587293","pmid1"
"alemtuzumab","root","7879054","pmid1"
"alemtuzumab","root","7488279","pmid1"
"alemtuzumab","root","7579468","pmid1"
"alemtuzumab","root","8588237","pmid1"
"alemtuzumab","root","7584950","pmid1"
"alemtuzumab","root","7536798","pmid1"
"alemtuzumab","root","7890742","pmid1"
"alemtuzumab","root","7734348","pmid1"
"alemtuzumab","root","7771465","pmid1"
"alemtuzumab","root","7596181","pmid1"
"alemtuzumab","root","7723546","pmid1"
"alemtuzumab","root","7781137","pmid1"
"alemtuzumab","root","8528057","pmid1"
"alemtuzumab","root","7666104","pmid1"
"alemtuzumab","root","7575719","pmid1"
"alemtuzumab","root","9552353","pmid1"
"alemtuzumab","root","8751471","pmid1"
"alemtuzumab","root","8962411","pmid1"
"alemtuzumab","root","8962412","pmid1"
"alemtuzumab","root","8624684","pmid1"
"alemtuzumab","root","8620297","pmid1"
"alemtuzumab","root","8977262","pmid1"
"alemtuzumab","root","8630428","pmid1"
"alemtuzumab","root","8704678","pmid1"
"alemtuzumab","root","8611450","pmid1"
"alemtuzumab","root","8733704","pmid1"
"alemtuzumab","root","8971469","pmid1"
"alemtuzumab","root","8652811","pmid1"
"alemtuzumab","root","9172812","pmid1"
"alemtuzumab","root","8546551","pmid1"
"alemtuzumab","root","9238677","pmid1"
"alemtuzumab","root","9049965","pmid1"
"alemtuzumab","root","8641639","pmid1"
"alemtuzumab","root","8981930","pmid1"
"alemtuzumab","root","8970605","pmid1"
"alemtuzumab","root","8918281","pmid1"
"alemtuzumab","root","9355822","pmid1"
"alemtuzumab","root","9324281","pmid1"
"alemtuzumab","root","9414645","pmid1"
"alemtuzumab","root","9351970","pmid1"
"alemtuzumab","root","10851464","pmid1"
"alemtuzumab","root","9215839","pmid1"
"alemtuzumab","root","9250818","pmid1"
"alemtuzumab","root","9250791","pmid1"
"alemtuzumab","root","9193354","pmid1"
"alemtuzumab","root","9177426","pmid1"
"alemtuzumab","root","9145041","pmid1"
"alemtuzumab","root","9192777","pmid1"
"alemtuzumab","root","9178837","pmid1"
"alemtuzumab","root","9195505","pmid1"
"alemtuzumab","root","9207420","pmid1"
"alemtuzumab","root","9209669","pmid1"
"alemtuzumab","root","9122943","pmid1"
"alemtuzumab","root","9108450","pmid1"
"alemtuzumab","root","9048207","pmid1"
"alemtuzumab","root","9020367","pmid1"
"alemtuzumab","root","9054672","pmid1"
"alemtuzumab","root","9053466","pmid1"
"alemtuzumab","root","9471060","pmid1"
"alemtuzumab","root","9402750","pmid1"
"alemtuzumab","root","9760161","pmid1"
"alemtuzumab","root","9779699","pmid1"
"alemtuzumab","root","9779698","pmid1"
"alemtuzumab","root","9779701","pmid1"
"alemtuzumab","root","9824507","pmid1"
"alemtuzumab","root","9708202","pmid1"
"alemtuzumab","root","9685176","pmid1"
"alemtuzumab","root","9685175","pmid1"
"alemtuzumab","root","9704734","pmid1"
"alemtuzumab","root","9578307","pmid1"
"alemtuzumab","root","9482530","pmid1"
"alemtuzumab","root","9482531","pmid1"
"alemtuzumab","root","9593475","pmid1"
"alemtuzumab","root","9446633","pmid1"
"alemtuzumab","root","9516160","pmid1"
"alemtuzumab","root","9721431","pmid1"
"alemtuzumab","root","9691083","pmid1"
"alemtuzumab","root","9746768","pmid1"
"alemtuzumab","root","9758577","pmid1"
"alemtuzumab","root","9694951","pmid1"
"alemtuzumab","root","9834254","pmid1"
"alemtuzumab","root","10235069","pmid1"
"alemtuzumab","root","9734890","pmid1"
