Rank,NCT Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
70,NCT00021151,Compassionate Use of Campath-1H in Treating Patients With Refractory Prolymphocytic Leukemia or Chronic Lymphocytic Leukemia,Completed,No Results Available,Leukemia,Biological: alemtuzumab,"Case Comprehensive Cancer Center|National Cancer Institute (NCI)|Genzyme, a Sanofi Company",All,"18 Years and older Â  (Adult, Senior)",,2,Other|NIH|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,ILEX1999|CWRU-ILEX-1999|ILEX-CAM511-A1|NCI-G01-1977,11-Jul-01,1/1/00,5/1/02,7-Jan-14,Jan-14,No Study Results Posted,null,Apr-01,,https://ClinicalTrials.gov/show/NCT00021151
282,NCT00031005,Stem Cell Transplantation to Treat Leukocyte Adhesion Deficiency,Completed,No Results Available,Leukocyte-Adhesion Deficiency Syndrome,Procedure: modified stem cell transplant,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),All,"Child, Adult, Senior",Phase 2,10,NIH,Interventional,Primary Purpose: Treatment,020126|02-I-0126,20-Feb-02,2/1/02,2/1/03,3-Mar-08,Feb-03,No Study Results Posted,null,null,,https://ClinicalTrials.gov/show/NCT00031005
146,NCT00056979,Monoclonal Antibody Conditioning for Allogeneic Stem Cell Transplantation of Patients With Inherited Metabolic Storage Diseases,Terminated,No Results Available,Inherited Metabolic Storage Diseases,Drug: CAMPATH-1H|Drug: Anti-CD45|Drug: FK506|Drug: Fludarabine,Baylor College of Medicine|Texas Children's Hospital|The Methodist Hospital System,All,"Child, Adult, Senior",Phase 1|Phase 2,2,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,H11909|MAID,26-Mar-03,6/1/02,6/1/03,21-Sep-15,Sep-15,No Study Results Posted,null,Jun-03,,https://ClinicalTrials.gov/show/NCT00056979
217,NCT00073879,"Fludarabine, Cyclophosphamide, and Alemtuzumab in Treating Patients With Recurrent or Metastatic Renal Cell Carcinoma (Kidney Cancer) Undergoing Allogeneic Stem Cell Transplantation",Completed,No Results Available,Kidney Cancer,Biological: alemtuzumab|Biological: graft-versus-tumor induction therapy|Drug: cyclophosphamide|Drug: fludarabine phosphate|Procedure: allogeneic bone marrow transplantation|Procedure: peripheral blood stem cell transplantation,Baylor College of Medicine,All,"Child, Adult, Senior",,null,Other,Interventional,Primary Purpose: Treatment,CDR0000328247|BCM-H-8447,10-Dec-03,4/1/03,4/1/04,27-Jan-15,Jan-15,No Study Results Posted,null,Apr-04,Number of patients with treatment related mortality,https://ClinicalTrials.gov/show/NCT00073879
276,NCT00023192,Treatment of Chronic Granulomatous Disease With Allogeneic Stem Cell Transplantation Versus Standard of Care,Completed,No Results Available,Chronic Granulomatous Disease,Drug: T-Cell Depleted & CD34+Select/w/StemCell Enriched Product,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),All,"Child, Adult, Senior",Phase 3,60,NIH,Interventional,Primary Purpose: Treatment,010242|01-I-0242,29-Aug-01,8/1/01,6/1/04,3-Mar-08,Jun-04,No Study Results Posted,null,null,,https://ClinicalTrials.gov/show/NCT00023192
142,NCT00276809,"Combination Chemotherapy, Total-Body Irradiation, and Alemtuzumab in Treating Patients Undergoing an Autologous Stem Cell Transplant for Stage I, Stage II, Stage III, or Stage IV Chronic Lymphocytic Leukemia",Completed,No Results Available,Chronic Lymphocytic Leukemia,Biological: alemtuzumab|Biological: filgrastim|Drug: carmustine|Drug: cyclophosphamide|Drug: cytarabine|Drug: dexamethasone|Drug: etoposide|Drug: fludarabine phosphate|Drug: melphalan|Procedure: autologous bone marrow transplantation|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy,German CLL Study Group,All,18 Years to 60 Years Â  (Adult),Phase 2,30,Other,Interventional,Allocation: Non-Randomized|Masking: Open Label|Primary Purpose: Treatment,CLL3C|EU-20556|MEDAC-GCLLSG-CLL3C,12-Jan-06,6/1/01,9/1/04,23-Sep-16,Sep-16,No Study Results Posted,null,Sep-04,Safety and feasibility of CAMPATH-1H included into the myeloablative regimen (cyclophosphamide and TBI) of the CLL3 protocol monitoring of treatment related mortality and morbidity (CTC scale) continuous|Rate and duration of molecular responses MRD levels continuous|Rate and duration of clinical remissions NCIE sponsored remission criteria for CLL continuous|Overall survival time from treatment to death continuous,https://ClinicalTrials.gov/show/NCT00276809
76,NCT00051701,Phase I/II Study of CAMPATH in Patients With Relapsing or Refractory Non-Hodgkin's Lymphoma,Terminated,No Results Available,Non-Hodgkins Lymphoma,Drug: alemtuzumab,"Genzyme, a Sanofi Company|Sanofi",All,"18 Years and older Â  (Adult, Senior)",Phase 1|Phase 2,61,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,CAM.NHL232|BLA 99-0786,15-Jan-03,12/1/02,8/1/05,4-Mar-15,Mar-15,No Study Results Posted,null,null,,https://ClinicalTrials.gov/show/NCT00051701
67,NCT00685061,"Thymoglobulin Versus Campath-1H Versus Daclizumab in Adult, Primary Deceased Donor Renal Transplantation",Completed,No Results Available,Renal Transplantation,Drug: Thymoglobulin|Drug: Campath-1H|Drug: Daclizumab,University of Miami,All,"16 Years and older Â  (Child, Adult, Senior)",Phase 4,90,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,IRB#20020213,23-May-08,11/1/02,9/1/05,27-May-08,May-08,No Study Results Posted,null,Sep-04,Incidence and severity of biopsy-proven acute rejection at 1 year.|One-year and 3 year patient and graft survival.,https://ClinicalTrials.gov/show/NCT00685061
73,NCT00113048,Subcutaneously Administered CAMPATH in CD52 Expressing Hematologic Malignancies,Terminated,No Results Available,Hematologic Malignancies,Drug: CAMPATH (alemtuzumab),"Genzyme, a Sanofi Company|Sanofi",All,"18 Years and older Â  (Adult, Senior)",Phase 1,24,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,CAM111,3-Jun-05,12/1/03,9/1/05,4-Feb-14,Feb-14,No Study Results Posted,null,null,,https://ClinicalTrials.gov/show/NCT00113048
4,NCT00038883,Campath-1H and Allogeneic Blood Stem Cell Transplantation for Lymphoid Malignancies,Completed,No Results Available,"Leukemia, Lymphocytic, Chronic|Leukemia, Lymphocytic, Acute|Lymphoma, Low-Grade|Lymphoma, T-Cell|Lymphoma, B-Cell",Drug: Campath-1H,M.D. Anderson Cancer Center|Leudosite,All,"15 Years to 60 Years Â  (Child, Adult)",,19,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,ID99-410,5-Jun-02,4/1/01,5/1/06,27-Jul-12,Jul-12,No Study Results Posted,null,May-06,CAMPATH 2-year event-free survival rate,https://ClinicalTrials.gov/show/NCT00038883
