"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"Pyrimidine derivatives and processes for the preparation thereof","US5521184 (A)","1996-05-28","ZIMMERMANN JUERG [CH]","CIBA GEIGY CORP [US]","C07D401/04; C07D401/14; C07D403/04; C07D409/04; C07D413/04; C07D239/92; A61K31/505","C07D401/04; C07D401/14; C07D403/04; C07D409/04; C07D413/04","US19940234889","19940428","CH19930002966 19931001; US19930042322 19930402; CH19920001083 19920403; US19940234889 19940428","US4694009 (A); US4788195 (A); US4876252 (A); US4940712 (A); CA2093203 (A1); EP0564409 (A1); EP0168262 (A2); EP0164204 (A1); EP0233461 (A2); EP0337943 (A2); EP0388838 (A2); EP0453731 (A2); DE3436380 (A1)","","","","","","","","","","","","",""
"Pyrimidin derivatives and process for their preparation.","AT188964 (T)","2000-02-15","ZIMMERMANN JUERG DR [CH]","NOVARTIS AG [CH];  NOVARTIS ERFIND VERWALT GMBH [AT]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; C07D401/14; C07D403/04","C07D401/04; C07D401/14","AT19930810219T","19930325","CH19920001083 19920403","","","","","","","","","","","","","",""
"Pyrimidine derivatives and processes for the preparation thereof","AU666709 (B2); AU3569493 (A)","1993-10-07","NAME NOT GIVEN, ; DR JURG ZIMMERMANN","CIBA GEIGY AG","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; C07D401/14; C07D409/14","C07D401/04; C07D401/14","AU19930035694","19930402","CH19920001083 19920403","AU5057890 (A)","","","","","","","","","","","","",""
"Further pyrimidine derivatives and their preparation","AU693804 (B2)","1998-07-09","ZIMMERMANN JURG","CIBA GEIGY AG","A61K31/505; A61P35/00; C07D401/04; C07D403/04; C07D409/04; C07D413/04; C07D401/04; A61K31/505; C07D403/04; C07D409/04","C07D401/04; C07D403/04; C07D409/04; C07D413/04","AU19940076975","19940921","CH19930002966 19931001; WO1994EP03149 19940921; CH19940002278 19940718","AU3569493 (A)","","","","","","","","","","","","",""
"Further pyrimidine derivatives and their preparation","AU7697594 (A)","1995-05-01","ZIMMERMANN JUERG [CH]","CIBA GEIGY AG","A61K31/505; A61P35/00; C07D401/04; C07D403/04; C07D409/04; C07D413/04; C07D401/04; A61K31/505; C07D403/04; C07D409/04","C07D401/04; C07D403/04; C07D409/04; C07D413/04","AU19940076975D","19940921","CH19930002966 19931001; CH19940002278 19940718; WO1994EP03149 19940921","","","","","","","","","","","","","",""
"Pyrimidin derivatives and process for their preparation.","BR1100739 (A)","2000-06-06","ZIMMERMANN JUERG DR","","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; C07D401/14; C07D403/04","C07D401/04; C07D401/14","BR19971100739","19970509","BR19971100739 19970509; CH19920001083 19920403","","","","","","","","","","","","","",""
"PYRIMIDINE DERIVATIVES AND PROCESSES FOR THE PREPARATION THEREOF","CA2093203 (A1); CA2093203 (C)","1993-10-04","ZIMMERMANN JUERG [CH]","CIBA GEIGY AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; A61K31/535; C07D401/14; C07D409/14; C07D413/14","C07D401/04; C07D401/14","CA19932093203","19930401","CH19920001083 19920403","","","","","","","","","","","","","",""
"FURTHER PYRIMIDINE DERIVATIVES AND THEIR PREPARATION","CA2148477 (A1)","1995-04-13","ZIMMERMANN JUERG [CH]","CIBA GEIGY AG [CH]","A61K31/505; A61P35/00; C07D401/04; C07D403/04; C07D409/04; C07D413/04; C07D401/04; A61K31/505; C07D403/04; C07D409/04","C07D401/04; C07D403/04; C07D409/04; C07D413/04","CA19942148477","19940921","CH19930002966 19931001; CH19940002278 19940718","","","","","","","","","","","","","",""
"PYRIMIDINE DERIVATIVES AND A PROCESS FOR PRODUCTION THEREOF","CN1077713 (A); CN1043531 (C)","1993-10-27","CHIMERMANN J [CH]","CIBA GEIGY AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/44; C07D401/14; C07D409/14","C07D401/04; C07D401/14","CN1993103566","19930402","CH19920001083 19920403","","","","","","","","","","","","","",""
"Pyrimidin derivatives and process for their preparation","CY2229 (B1)","2003-04-18","ZIMMERMANN JUERG DR [CH]","NOVARTIS AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; C07D401/14; C07D403/04","C07D401/14; C07D401/04","CY20010000019","20010713","CH19920001083 19920403","","","","","","","","","","","","","",""
