source,stype,target,ttype
nelarabine,root,fda_021877,fda
nelarabine,root,US5424295,patent
nelarabine,root,US5492897,patent
nelarabine,root,nonct_15908652,ct
nelarabine,root,nonct_15908652,ct
nelarabine,root,nonct_15908652,ct
nelarabine,root,nonct_15908652,ct
nelarabine,root,nonct_15908652,ct
fda_021877,fda,18586926,pmid1
fda_021877,fda,15908652,pmid1
fda_021877,fda,15908649,pmid1
US5424295,patent,14282929,pmid1
US5424295,patent,280159,pmid1
US5424295,patent,3033195,pmid1
US5424295,patent,5788168,pmid1
US5424295,patent,191189,pmid1
US5492897,patent,3523241,pmid1
US5492897,patent,6332120,pmid1
US5492897,patent,6600944,pmid1
US5492897,patent,3971358,pmid1
US5492897,patent,2653511,pmid1
nelarabine,root,16178817,pmid1
nelarabine,root,15908652,pmid1
nelarabine,root,15908649,pmid1
nelarabine,root,15870141,pmid1
nelarabine,root,15481249,pmid1
nelarabine,root,15242246,pmid1
nelarabine,root,14685303,pmid1
nelarabine,root,12750168,pmid1
nelarabine,root,12036920,pmid1
nelarabine,root,11812944,pmid1
nelarabine,root,11753605,pmid1
nelarabine,root,11585009,pmid1
nelarabine,root,11304766,pmid1
nelarabine,root,11147228,pmid1
nelarabine,root,11043760,pmid1
nelarabine,root,10733261,pmid1
nelarabine,root,10694549,pmid1
nelarabine,root,10334953,pmid1
nelarabine,root,9921974,pmid1
nelarabine,root,9817282,pmid1
nelarabine,root,9063861,pmid1
