"","id","pubdate","firstauthor","lastauthor","source","title","year"
"1","26302785","2014","Abdel-Rahman O","ElHalawani H","Chemotherapy","Proteinuria in Patients with Solid Tumors Treated with Ramucirumab: A Systematic Review and Meta-Analysis.","2014"
"2","25618624","2014 Mar","Izzo C","Izzo C","The American journal of managed care","Ramucirumab combination improves OS and PFS in NSCLC.","2014"
"3","25580271","2014 Dec 1","Stinchcombe TE","Stinchcombe TE","F1000prime reports","Recent advances in the treatment of non-small cell and small cell lung cancer.","2014"
"4","25520773","2014","Luu DC","Chao J","Clinical investigation","How can we manage resistance to antiangiogenic drugs?","2014"
"5","25496333","2014","Smyth EC","Chau I","Immunotherapy","Ramucirumab: targeting angiogenesis in the treatment of gastric cancer.","2014"
"6","25378934","2014 Oct 29","Aprile G","Grossi F","OncoTargets and therapy","Ramucirumab: preclinical research and clinical development.","2014"
"7","25268988","2014 Sep 30","Iacovelli R","Di Bartolomeo M","PloS one","Chemotherapy or targeted therapy as second-line treatment of advanced gastric cancer. A systematic review and meta-analysis of published studies.","2014"
"8","25145426","2014","Liguigli W","Passalacqua R","Future oncology (London, England)","Ramucirumab for metastatic gastric or gastroesophageal junction cancer: results and implications of the REGARD trial.","2014"
"9","25092761","2014 Aug","","","Cancer discovery","Ramucirumab extends survival in advanced NSCLC.","2014"
"10","25002597","2014 Jul","","","Cancer discovery","Ramucirumab approved for gastric cancer.","2014"
"11","24970311","2015 Jan","Abdel-Rahman O","Abdel-Rahman O","Critical reviews in oncology/hematology","Targeting vascular endothelial growth factor (VEGF) pathway in gastric cancer: preclinical and clinical aspects.","2015"
"12","24958960","2014 May","Cada DJ","Baker DE","Hospital pharmacy","Sofosbuvir.","2014"
"13","24953238","2014 Aug","Garrido M","Lacave AJ","Expert review of anticancer therapy","Challenges in first line chemotherapy and targeted therapy in advanced gastric cancer.","2014"
"14","24933332","2014 Aug 23","Garon EB","Pérol M","Lancet (London, England)","Ramucirumab plus docetaxel versus placebo plus docetaxel for second-line treatment of stage IV non-small-cell lung cancer after disease progression on platinum-based therapy (REVEL): a multicentre, double-blind, randomised phase 3 trial.","2014"
"15","24930625","2014 Aug","Carvajal RD","Bedikian AY","European journal of cancer (Oxford, England : 1990)","A phase 2 randomised study of ramucirumab (IMC-1121B) with or without dacarbazine in patients with metastatic melanoma.","2014"
"16","24916147","2014 Jun","Poole RM","Vaidya A","Drugs","Ramucirumab: first global approval.","2014"
"17","24881691","2014 Sep","Barzi A","Thara E","Expert opinion on biological therapy","Angiogenesis in esophageal and gastric cancer: a paradigm shift in treatment.","2014"
"18","24858418","2014 Aug","Yang W","Klempner SJ","Biochimica et biophysica acta","Targeted therapy for gastric cancer: molecular pathways and ongoing investigations.","2014"
"19","24846335","2014 Jul-Aug","Reichert JM","Reichert JM","mAbs","Antibodies to watch in 2014: mid-year update.","2014"
"20","24810646","2014 Jun","Reataza M","Imagawa DK","Frontiers of medicine","Advances in managing hepatocellular carcinoma.","2014"
"21","24806575","2014 Jul","Aprile G","Scartozzi M","Expert opinion on investigational drugs","The challenge of targeted therapies for gastric cancer patients: the beginning of a long journey.","2014"
"22","24797897","2014 Aug 1","Liu F","Gu W","Cancer","Ramucirumab in metastatic renal cell carcinoma: the sex, race, and age issues.","2014"
"23","26674336","2014 May","Schulte N","Härtel N","Gastrointestinal tumors","Gastric Cancer: New Drugs - New Strategies.","2014"
"24","24744582","2014 Apr 14","Yamamoto H","Itoh F","World journal of gastroenterology","An updated review of gastric cancer in the next-generation sequencing era: insights from bench to bedside and vice versa.","2014"
"25","24706672","2014 Apr","","","Cancer discovery","Ramucirumab extends gastric cancer survival.","2014"
"26","24674871","2014 Apr","Garcia-Carbonero R","Tabernero J","The oncologist","An open-label phase II study evaluating the safety and efficacy of ramucirumab combined with mFOLFOX-6 as first-line therapy for metastatic colorectal cancer.","2014"
