source,stype,target,ttype
ramucirumab,root,bla_125477,fda
ramucirumab,root,us_7498414,patent
ramucirumab,root,nonnct_24094768,ct
ramucirumab,root,"nonnct_24933332,",ct
ramucirumab,root,nonnct_24930625,ct
ramucirumab,root,nonnct_24674871,ct
ramucirumab,root,nonnct_24577874,ct
ramucirumab,root,nonnct_25145426,ct
ramucirumab,root,nonnct_24088738,ct
ramucirumab,root,nonnct_22853980,ct
ramucirumab,root,nonnct_20048182,ct
ramucirumab,root,nonnct_19933083,ct
ramucirumab,root,NCT02079636,ct
ramucirumab,root,26302785,pmid1
ramucirumab,root,25618624,pmid1
ramucirumab,root,25580271,pmid1
ramucirumab,root,25520773,pmid1
ramucirumab,root,25496333,pmid1
ramucirumab,root,25378934,pmid1
ramucirumab,root,25268988,pmid1
ramucirumab,root,25145426,pmid1
ramucirumab,root,25092761,pmid1
ramucirumab,root,25002597,pmid1
ramucirumab,root,24970311,pmid1
ramucirumab,root,24958960,pmid1
ramucirumab,root,24953238,pmid1
ramucirumab,root,24933332,pmid1
ramucirumab,root,24930625,pmid1
ramucirumab,root,24916147,pmid1
ramucirumab,root,24881691,pmid1
ramucirumab,root,24858418,pmid1
ramucirumab,root,24846335,pmid1
ramucirumab,root,24810646,pmid1
ramucirumab,root,24806575,pmid1
ramucirumab,root,24797897,pmid1
ramucirumab,root,26674336,pmid1
ramucirumab,root,24744582,pmid1
ramucirumab,root,24706672,pmid1
ramucirumab,root,24674871,pmid1
ramucirumab,root,24665840,pmid1
ramucirumab,root,24605771,pmid1
ramucirumab,root,24597359,pmid1
ramucirumab,root,24577887,pmid1
ramucirumab,root,24577874,pmid1
ramucirumab,root,24330856,pmid1
ramucirumab,root,24327713,pmid1
ramucirumab,root,24304282,pmid1
ramucirumab,root,24300880,pmid1
ramucirumab,root,24284914,pmid1
ramucirumab,root,24283847,pmid1
ramucirumab,root,24277700,pmid1
ramucirumab,root,24094768,pmid1
ramucirumab,root,24094766,pmid1
ramucirumab,root,24088738,pmid1
ramucirumab,root,24048758,pmid1
ramucirumab,root,23807861,pmid1
ramucirumab,root,23803182,pmid1
ramucirumab,root,23797131,pmid1
ramucirumab,root,23727858,pmid1
ramucirumab,root,23718298,pmid1
ramucirumab,root,23647293,pmid1
ramucirumab,root,23622716,pmid1
ramucirumab,root,23461471,pmid1
