"","id","pubdate","firstauthor","lastauthor","source","title","year"
"1","12446434","2002","Maloney DG","Shizuru JA","Hematology. American Society of Hematology. Education Program","Non-myeloablative transplantation.","2002"
"2","12180493","2002","Rai K","Hallek M","Medical oncology (Northwood, London, England)","Future prospects for alemtuzumab (MabCampath).","2002"
"3","12180492","2002","Kennedy B","Hillmen P","Medical oncology (Northwood, London, England)","Immunological effects and safe administration of alemtuzumab (MabCampath) in advanced B-cLL.","2002"
"4","12180491","2002","Hale G","Hale G","Medical oncology (Northwood, London, England)","Alemtuzumab in stem cell transplantation.","2002"
"5","12180489","2002","Dearden CE","Catovsky D","Medical oncology (Northwood, London, England)","Alemtuzumab in T-cell malignancies.","2002"
"6","12180488","2002","Osterborg A","Keating M","Medical oncology (Northwood, London, England)","Clinical effects of alemtuzumab (Campath-1H) in B-cell chronic lymphocytic leukemia.","2002"
"7","12180487","2002","Montserrat E","Montserrat E","Medical oncology (Northwood, London, England)","Current and developing chemotherapy for CLL.","2002"
"8","12113137","2001 Jun","Morrison VA","Morrison VA","Expert review of anticancer therapy","Update on prophylaxis and therapy of infection in patients with chronic lymphocytic leukemia.","2001"
"9","12113063","2002 Feb","Dumont FJ","Dumont FJ","Expert review of anticancer therapy","CAMPATH (alemtuzumab) for the treatment of chronic lymphocytic leukemia and beyond.","2002"
"10","12087878","2002 Apr","Bayes M","Prous JR","Methods and findings in experimental and clinical pharmacology","Gateways to Clinical Trials.","2002"
"11","11842484","2002 Jan-Feb","Sorokin P","Sorokin P","Clinical journal of oncology nursing","New agents and future directions in biotherapy.","2002"
"12","11842392","2002 Feb","Nabhan C","Rosen ST","Seminars in oncology","Conceptual aspects of combining rituximab and Campath-1H in the treatment of chronic lymphocytic leukemia.","2002"
"13","11760553","2001 Nov-Dec","O'Brien S","O'Brien S","Cancer control : journal of the Moffitt Cancer Center","NCCN: New directions in chronic lymphocytic leukemia.","2001"
"14","11728236","2001 Nov","Ferrajoli A","Keating MJ","Expert opinion on biological therapy","Alemtuzumab: a novel monoclonal antibody.","2001"
"15","11585011","2001 Jun","Illidge TM","Bayne MC","Expert opinion on pharmacotherapy","Antibody therapy of lymphoma.","2001"
"16","11583062","2001 Jul","Simpson D","Simpson D","Expert opinion on pharmacotherapy","New developments in the prophylaxis and treatment of graft versus host disease.","2001"
"17","11375079","2001 May 29","Calne RY","Calne RY","Philosophical transactions of the Royal Society of London. Series B, Biological sciences","The future of organ transplantation: from the laboratory to the clinic.","2001"
"18","12633529","2002","Garside R","Royle P","Health technology assessment (Winchester, England)","The effectiveness and cost-effectiveness of imatinib in chronic myeloid leukaemia: a systematic review.","2002"
"19","12611069","2002","Ottmann OG","Hoelzer D","Annals of hematology","Imatinib for relapsed BCR/ABL positive leukemias.","2002"
"20","12446421","2002","Druker BJ","Radich J","Hematology. American Society of Hematology. Education Program","Chronic myelogenous leukemia.","2002"
"21","12401703","2002","Judson I","Judson I","Annals of oncology : official journal of the European Society for Medical Oncology","Gastrointestinal stromal tumours (GIST): biology and treatment.","2002"
"22","12191616","2002 Feb-Mar","Hill MM","Hemmings BA","Pharmacology &amp; therapeutics","Inhibition of protein kinase B/Akt. implications for cancer therapy.","2002"
"23","12191602","2002 Feb-Mar","Fabbro D","Manley PW","Pharmacology &amp; therapeutics","Protein kinases as targets for anticancer agents: from inhibitors to useful drugs.","2002"
"24","12122963","2002","Baker DE","Baker DE","Reviews in gastroenterological disorders","Imatinib mesylate.","2002"
"25","12120282","2002 Apr","Cohen P","Cohen P","Nature reviews. Drug discovery","Protein kinases--the major drug targets of the twenty-first century?","2002"
"26","12094372","2002 May","Miettinen M","Lasota J","Human pathology","Evaluation of malignancy and prognosis of gastrointestinal stromal tumors: a review.","2002"
"27","12094370","2002 May","Fletcher CD","Weiss SW","Human pathology","Diagnosis of gastrointestinal stromal tumors: A consensus approach.","2002"
"28","12086885","2002 Feb","Druker BJ","Druker BJ","Cancer cell","Perspectives on the development of a molecularly targeted agent.","2002"
"29","12086882","2002 Feb","Sawyers CL","Sawyers CL","Cancer cell","Disabling Abl-perspectives on Abl kinase regulation and cancer therapeutics.","2002"
"30","12075401","2002 Apr","Fletcher CD","Weiss SW","International journal of surgical pathology","Diagnosis of gastrointestinal stromal tumors: a consensus approach.","2002"
"31","12057124","2001 Jun","Kurzrock R","Talpaz M","Current treatment options in oncology","Chronic myelogenous leukemia in chronic phase.","2001"
"32","12057094","2001 Dec","Blanke CD","Heinrich MC","Current treatment options in oncology","Gastrointestinal stromal tumors.","2001"
"33","12054102","2002 Mar","Radford IR","Radford IR","Current opinion in investigational drugs (London, England : 2000)","Imatinib. Novartis.","2002"
"34","12052199","2002","Woolfrey JR","Weston GS","Current pharmaceutical design","The use of computational methods in the discovery and design of kinase inhibitors.","2002"
"35","12012318","2002 Apr","O'Dwyer ME","Druker BJ","Seminars in hematology","Recent advances in Philadelphia chromosome-positive malignancies: the potential role of arsenic trioxide.","2002"
"36","12004080","2002","Countouriotis A","Sakamoto KM","Stem cells (Dayton, Ohio)","Cell surface antigen and molecular targeting in the treatment of hematologic malignancies.","2002"
"37","11993784","2002 Apr","Garcia-Manero G","Kantarjian HM","Internal medicine (Tokyo, Japan)","Current therapy of chronic myelogenous leukemia.","2002"
"38","11989613","2001 Nov-Dec","Cimoli G","Parodi S","Tumori","Signaling proteins as innovative targets for antineoplastic therapy: our experience with the signaling protein c-myc.","2001"
"39","11989608","2001 Nov-Dec","Gambacorti C","Gambacorti C","Tumori","STI571 (glivec-tm): a new paradigm for the development of innovative therapies in onco-hematology?","2001"
"40","11976731","2002 Apr","Sharifi N","Steinman RA","Journal of molecular medicine (Berlin, Germany)","Targeted chemotherapy: chronic myelogenous leukemia as a model.","2002"
"41","11961207","2002","O'Dwyer M","O'Dwyer M","The oncologist","Multifaceted approach to the treatment of bcr-abl-positive leukemias.","2002"
"42","11960697","2002 Mar 14","Radich JP","Radich JP","Biochimica et biophysica acta","The promise of gene expression analysis in hematopoetic malignancies.","2002"
"43","11960387","2002","Ottmann OG","Hoelzer D","The hematology journal : the official journal of the European Haematology Association","The ABL tyrosine kinase inhibitor STI571 (Glivec) in Philadelphia positive acute lymphoblastic leukemia - promises, pitfalls and possibilities.","2002"
"44","11960334","2002 Apr","Blagosklonny MV","Blagosklonny MV","Leukemia","STI-571 must select for drug-resistant cells but 'no cell breathes fire out of its nostrils like a dragon'.","2002"
"45","11927282","2002","Druker BJ","Druker BJ","Trends in molecular medicine","STI571 (Gleevec) as a paradigm for cancer therapy.","2002"
"46","11925533","2002 Mar","Parisi E","Sollecito TP","Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics","Acute myelogenous leukemia: advances and limitations of treatment.","2002"
"47","11919387","2002","Kaeda J","Goldman JM","Acta haematologica","Cytogenetic and molecular monitoring of residual disease in chronic myeloid leukaemia.","2002"
"48","11901302","2002 Feb","Thambi P","Sausville EA","Anti-cancer drugs","STI571 (imatinib mesylate): the tale of a targeted therapy.","2002"
"49","11900253","2001 Oct","Bullock AN","Fersht AR","Nature reviews. Cancer","Rescuing the function of mutant p53.","2001"
"50","11896121","2002 Mar 15","Heinrich MC","Corless CL","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","Inhibition of KIT tyrosine kinase activity: a novel molecular approach to the treatment of KIT-positive malignancies.","2002"
"51","11870247","2002 Feb 28","Savage DG","Antman KH","The New England journal of medicine","Imatinib mesylate--a new oral targeted therapy.","2002"
"52","11818480","2002","O'Dwyer ME","Druker BJ","Annual review of medicine","Recent advancements in the treatment of chronic myelogenous leukemia.","2002"
"53","11792120","2001 Dec","Smith MA","Smith JG","Blood reviews","Stem cell factor: laboratory and clinical aspects.","2001"
"54","11773186","2002 Jan 1","Mauro MJ","Druker BJ","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","STI571: a paradigm of new agents for cancer therapeutics.","2002"
"55","11740805","2001 Oct","Schiffer CA","Schiffer CA","Seminars in oncology","Signal transduction inhibition: changing paradigms in cancer care.","2001"
"56","11740804","2001 Oct","George D","George D","Seminars in oncology","Platelet-derived growth factor receptors: a therapeutic target in solid tumors.","2001"
"57","11740803","2001 Oct","Demetri GD","Demetri GD","Seminars in oncology","Targeting c-kit mutations in solid tumors: scientific rationale and novel therapeutic options.","2001"
"58","11740802","2001 Oct","Kantarjian HM","Talpaz M","Seminars in oncology","Imatinib mesylate: clinical results in Philadelphia chromosome-positive leukemias.","2001"
"59","11740801","2001 Oct","Griffin J","Griffin J","Seminars in oncology","The biology of signal transduction inhibition: basic science to novel therapies.","2001"
"60","11734109","2002 Jan","Goel S","Perez-Soler R","Current oncology reports","Tyrosine kinase inhibitors: a clinical perspective.","2002"
"61","11718431","2001 Nov","Kalaycio ME","Kalaycio ME","Cleveland Clinic journal of medicine","Chronic myelogenous leukemia: the news you have and haven't heard.","2001"
"62","11717816","2001 Sep","Schiffer CA","Schiffer CA","Current opinion in investigational drugs (London, England : 2000)","STI-571: current status and future prospects.","2001"
"63","11576833","2001 Oct","Verweij J","van Oosterom A","European journal of cancer (Oxford, England : 1990)","STI571: a magic bullet?","2001"
"64","11574762","2001 Aug","Sachsenmaier C","Sachsenmaier C","Onkologie","Targeting protein kinases for tumor therapy.","2001"
"65","11553417","2001 Aug 31","Buchdunger E","Druker BJ","Biochimica et biophysica acta","Bcr-Abl inhibition as a modality of CML therapeutics.","2001"
"66","11509034","2001 Aug 22-29","Kalidas M","Talpaz M","JAMA","Chronic myelogenous leukemia.","2001"
"67","11526600","2001 Jul","Appelbaum FR","Appelbaum FR","Seminars in hematology","Perspectives on the future of chronic myeloid leukemia treatment.","2001"
"68","11526599","2001 Jul","Goldman J","Goldman J","Seminars in hematology","Implications of imatinib mesylate for hematopoietic stem cell transplantation.","2001"
"69","11526598","2001 Jul","Talpaz M","Talpaz M","Seminars in hematology","Interferon-alfa-based treatment of chronic myeloid leukemia and implications of signal transduction inhibition.","2001"
"70","11526597","2001 Jul","Sawyers CL","Sawyers CL","Seminars in hematology","Molecular studies in chronic myeloid leukemia patients treated with tyrosine kinase inhibitors.","2001"
"71","11526596","2001 Jul","Druker B","Druker B","Seminars in hematology","Signal transduction inhibition: results from phase I clinical trials in chronic myeloid leukemia.","2001"
"72","11526595","2001 Jul","Witte O","Witte O","Seminars in hematology","The role of Bcr-Abl in chronic myeloid leukemia and stem cell biology.","2001"
"73","11504279","2001 Jul-Aug","Druker BJ","Druker BJ","Cancer journal (Sudbury, Mass.)","Current treatment approaches for chronic myelogenous leukemia.","2001"
"74","11454136","2001 Jul","O'Dwyer ME","Druker BJ","Journal of internal medicine","Chronic myelogenous leukaemia--new therapeutic principles.","2001"
"75","11409908","2001 Jun","Drummond MW","Holyoake TL","Blood reviews","Tyrosine kinase inhibitors in the treatment of chronic myeloid leukaemia: so far so good?","2001"
"76","18473971","2006 Sep","Curbo S","Karlsson A","Reviews on recent clinical trials","Nelarabine: a new purine analog in the treatment of hematologic malignancies.","2006"
"77","16925505","2006 Sep","Kline J","Larson RA","Expert opinion on pharmacotherapy","Nelarabine in the treatment of refractory T-cell malignant diseases.","2006"
"78","16922610","2006 Aug","Roecker AM","Kisor DF","Future oncology (London, England)","Nelarabine: efficacy in the treatment of clinical malignancies.","2006"
"79","16894400","2006 Jul","Kisor DF","Kisor DF","Drugs of today (Barcelona, Spain : 1998)","Nelarabine use in leukemias.","2006"
"80","16719832","2006 May","Lech-Maranda E","Robak T","Mini reviews in medicinal chemistry","Pharmacological and clinical studies on purine nucleoside analogs--new anticancer agents.","2006"
"81","17692027","2007","Zhong H","Bowen JP","Current topics in medicinal chemistry","Molecular design and clinical development of VEGFR kinase inhibitors.","2007"
"82","17627159","2007","Froehner M","Wirth MP","Urologia internationalis","Molecular therapy in urologic oncology.","2007"
"83","17607922","2007","Siehl J","Thiel E","Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer","C-kit, GIST, and imatinib.","2007"
"84","17547470","2007","Escudier B","Escudier B","Drugs","Advanced renal cell carcinoma: current and emerging management strategies.","2007"
"85","17537667","2007","Ho QT","Kuo CJ","The international journal of biochemistry &amp; cell biology","Vascular endothelial growth factor: biology and therapeutic applications.","2007"
"86","17520585","2007 Jan-Mar","Sartore-Bianchi A","Siena S","The International journal of biological markers","Rationale and clinical results of multi-target treatments in oncology.","2007"
"87","17419949","2007","Ostman A","Heldin CH","Advances in cancer research","PDGF receptors as targets in tumor treatment.","2007"
"88","17419150","2006 Nov","von Mehren M","von Mehren M","Clinical colorectal cancer","Beyond imatinib: second generation c-KIT inhibitors for the management of gastrointestinal stromal tumors.","2006"
"89","17402790","2007","Bartsch R","Steger GG","BioDrugs : clinical immunotherapeutics, biopharmaceuticals and gene therapy","HER-2-positive breast cancer: hope beyond trastuzumab.","2007"
"90","17348846","2007","Longo R","Gasparini G","Current pharmaceutical design","Targeted therapy of breast cancer.","2007"
"91","17263126","2006 Dec","Feldman DR","Motzer RJ","Oncology (Williston Park, N.Y.)","Novel targets and therapies for metastatic renal cell carcinoma.","2006"
"92","17255307","2007 Jan 15","Sosman JA","Atkins MB","Clinical cancer research : an official journal of the American Association for Cancer Research","Opportunities and obstacles to combination targeted therapy in renal cell cancer.","2007"
"93","17255305","2007 Jan 15","George DJ","George DJ","Clinical cancer research : an official journal of the American Association for Cancer Research","Phase 2 studies of sunitinib and AG013736 in patients with cytokine-refractory renal cell carcinoma.","2007"
"94","17239287","2006 Dec","Herbst RS","Herbst RS","Clinical lung cancer","Toxicities of antiangiogenic therapy in non-small-cell lung cancer.","2006"
"95","17239282","2006 Dec","Hutson TE","Galsky MD","Clinical genitourinary cancer","Targeting growth factor and antiangiogenic pathways in clear-cell renal cell carcinoma: rationale and ongoing trials.","2006"
"96","17239281","2006 Dec","Speca J","George D","Clinical genitourinary cancer","Improving outcomes with novel therapies for patients with newly diagnosed renal cell carcinoma.","2006"
"97","17239280","2006 Dec","Dreicer R","Dreicer R","Clinical genitourinary cancer","Tyrosine kinase inhibitors compared with cytokine therapy for metastatic renal cell carcinoma: overview of recent clinical trials differentiating clinical response and adverse effects.","2006"
"98","17208434","2007 Feb","Fletcher JA","Rubin BP","Current opinion in genetics &amp; development","KIT mutations in GIST.","2007"
"99","17206887","2006 Dec","Collins S","Landman J","Journal of endourology","Update on the epidemiology and biology of renal cortical neoplasms.","2006"
"100","17189392","2006 Dec 15","Patel PH","Motzer RJ","Clinical cancer research : an official journal of the American Association for Cancer Research","Targeting von Hippel-Lindau pathway in renal cell carcinoma.","2006"
"101","17181490","2006 Dec","Pouessel D","Culine S","Expert review of anticancer therapy","Targeted therapies in metastatic renal cell carcinoma: the light at the end of the tunnel.","2006"
"102","17181489","2006 Dec","Rini BI","Rini BI","Expert review of anticancer therapy","Molecularly targeted therapy in renal cell carcinoma: where do we go from here?","2006"
"103","17158546","2006 Dec 10","Motzer RJ","Bukowski RM","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","Targeted therapy for metastatic renal cell carcinoma.","2006"
"104","17139319","2006 Dec","Cooney MM","Remick SC","Nature clinical practice. Oncology","Drug insight: vascular disrupting agents and angiogenesis--novel approaches for drug delivery.","2006"
"105","17139244","2006 Oct","Sledge GW Jr","Burstein HJ","Clinical advances in hematology &amp; oncology : H&amp;O","The role of angiogenesis inhibition in the treatment of breast cancer.","2006"
"106","17135925","2006 Dec","Wetherbee SL","Wetherbee SL","Nursing","New weapons to snuff out kidney cancer.","2006"
"107","17103252","2007 Feb","Steeghs N","Gelderblom H","Annals of surgical oncology","Small molecule tyrosine kinase inhibitors in the treatment of solid tumors: an update of recent developments.","2007"
"108","17092282","2007 Feb","Bellmunt J","Orsola A","BJU international","Present strategies in the treatment of metastatic renal cell carcinoma: an update on molecular targeting agents.","2007"
"109","17074668","2006 Oct","Mellado B","Gascón P","Clinical &amp; translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico","Molecular biology of renal cell carcinoma.","2006"
"110","17064223","2006 Nov","Herbst RS","Herbst RS","Expert opinion on emerging drugs","Therapeutic options to target angiogenesis in human malignancies.","2006"
"111","17045086","2006 Oct","Jacobsohn KM","Wood CG","Seminars in oncology","Adjuvant therapy for renal cell carcinoma.","2006"
