id	pmid	given_author	first_author	title	source	year
	1331337	Akbasak,	Akbasak A	Oncogenes: cause or consequence in the development of glial tumors.	J Neurol Sci	1992
	10209510	Andoh,	Andoh A	Rapid intestinal ischaemia-reperfusion injury is suppressed in genetically mast cell-deficient Ws/Ws rats.	Clin Exp Immunol	1999
	7579408	Beck,	Beck D	Expression of stem cell factor and its receptor by human neuroblastoma cells and tumors.	Blood	1995
	7620167	Bedi,	Bedi A	BCR-ABL-mediated inhibition of apoptosis with delay of G2/M transition after DNA damage: a mechanism of resistance to multiple anticancer agents.	Blood	1995
	9207920	Bellone,		Growth Stimulation Of Colorectal Carcinoma Cells Via The c-Kit Receptor Is Inhibited By TGF-beta1,		
	1375870	Berdel,	Berdel WE	Recombinant human stem cell factor stimulates growth of a human glioblastoma cell line expressing c-kit protooncogene.	Cancer Res	1992
	10655061	Blume-Jensen,	Blume-Jensen P	Kit/stem cell factor receptor-induced activation of phosphatidylinositol 3'-kinase is essential for male fertility.	Nat Genet	2000
	8609154	Bokemeyer,	Bokemeyer C	Expression of stem-cell factor and its receptor c-kit protein in normal testicular tissue and malignant germ-cell tumours.	J Cancer Res Clin Oncol	1996
	14693160	Broudy,		Stem Cell Factor and Hematopoiesis,		
	10688886	Carpino,		p62<SUP>dok: </SUP>A Constitutively Tyrosine-Phosphorylated, GAP-Associated Protein In Chronic Myelogenous Leukemia Progenitor Cells,		
	8876560	Castells,	Castells MC	The presence of membrane-bound stem cell factor on highly immature nonmetachromatic mast cells in the peripheral blood of a patient with aggressive systemic mastocytosis.	J Allergy Clin Immunol	1996
	25275588	Chao,		Growth Factor Signaling: Where Is The Specificity?		
	24054722	Cohen,		Expression Of Stem Cell Factor And c-Kit In Human Neuroblastoma,		
	1378071	Columbo,	Columbo M	The human recombinant c-kit receptor ligand, rhSCF, induces mediator release from human cutaneous mast cells and enhances IgE-dependent mediator release from both skin mast cells and peripheral blood basophils.	J Immunol	1992
	28266165	Costa,		The Cells Of The Allergic Response,		
	9814978	Dastych,		Stem Cell Factor Induces Mast Cell Adhesion To Fibronectin,		
	1360236	Dickson,		Tyrosine Kinase Receptor-Nuclear Protooncogene Interactions In Breast Cancer,		
		Driancourt,		Roles Of Kit and Kit Ligand In Ovarian Function,		
	2537532	Dyson,	Dyson N	The human papilloma virus-16 E7 oncoprotein is able to bind to the retinoblastoma gene product.	Science	1989
	10706768	Escribano,		Expression of the C-Kit (CD117) Molecule In Normal And Malignant Hematopoiesis,		
	9935121	Feng,	Feng HL	Decreased expression of the c-kit receptor is associated with increased apoptosis in subfertile human testes.	Fertil Steril	1999
	9120017	Finotto,		Glucocorticoids Decrease Tissue Mast Cell Number By Reducing The Production Of the C-Kit Ligand, Stem cell Factor, By Resident Cells,		
		Furitsu,		Identification Of Mutations In The Code Sequence Of The Prot-Oncogene C-Kit in A Human Mast Cell Leukemia Cell Line Causing Ligand-Independent Activiation of C-Kit Product,		
	9680375	Furuta,	Furuta GT	Stem cell factor influences mast cell mediator release in response to eosinophil-derived granule major basic protein.	Blood	1998
