derived from espacenet...

"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"Bone Morphogenetic Protein Pathway Activation, Compositions for Ossification, and Methods Related Thereto","US2016361470 (A1)","2016-12-15","BODEN SCOTT D [US];  SANGADALA SREEDHARA [US]","UNIV EMORY [US]","A61L27/54; A61K31/436; A61K33/42; A61K38/18; A61K38/39; A61L27/12; A61L27/24; A61L27/52","A61L27/12; A61L27/46; A61L27/52; A61L27/54; A61K38/1875; A61K38/39; A61K31/436; A61K31/05; A61K31/07; A61K31/136; A61K31/196; A61K31/203; A61K31/232; A61K31/404; A61K31/407; A61K31/4174; A61K31/4184; A61K31/4745; A61K31/475; A61K31/506; A61K31/5377; A61K31/56; A61K31/585; A61K31/704; A61K31/7048; A61K31/7068; A61K33/42; A61L2300/414; A61L2300/45; A61L2430/02; A61L27/24; A61L27/46; C08L89/06; A61K33/42; A61K2300/00","US201615250221","20160829","US201615250221 20160829; US201414345661 20140319; WO2012US55722 20120917; US201261669199P 20120709; US201261657099P 20120608; US201161536168P 20110919","","","","","","","","","","","","","",""
"COMBINATION THERAPY FOR TREATING CANCER","WO2016172199 (A1)","2016-10-27","KEILHACK HEIKE [US];  PILI ROBERTO [US]","EPIZYME INC [US];  HEALTH RESEARCH INC [US]","A61K31/5377; A61K31/404; A61K31/4412; A61K31/444; A61P35/00","A61K31/404; A61K31/44; A61K31/4412; A61K31/444; A61K31/506; A61K31/517; A61K31/5377; A61K39/00; A61K31/5377; A61K2300/00; A61K31/4412; A61K2300/00; A61K31/517; A61K2300/00; A61K31/506; A61K2300/00; A61K31/44; A61K2300/00; A61K31/404; A61K2300/00; A61K31/444; A61K2300/00","WO2016US28425","20160420","US201562150185P 20150420","","","","","","","","","","","WO2013155464 (A1); WO2014168975 (A1); WO2014062720 (A2)","XP055325225","",""
"METHOD OF TREATMENT OF PHILADELPHIA CHROMOSOME POSITIVE LEUKEMIA","US2016304616 (A1)","2016-10-20","HIWASE DEVENDRA KESHAORAO [AU];  HUGHES TIMOTHY PETER [AU];  LOPEZ ANGEL FRANCISCO [AU];  VAIRO GINO LUIGI [AU]","CSL LTD [AU]","C07K16/28; A61K31/506; A61K38/17; A61K38/20; A61K39/395; A61K47/48","A61K38/202; A61K38/1793; A61K38/193; A61K39/39558; A61K45/06; A61K31/122; A61K31/4545; A61K31/497; A61K31/506; A61K39/3955; A61K47/48269; A61K47/4863; C07K16/2866; C07K2317/24; C07K2317/52; C07K2317/732; A61K31/122; A61K2300/00; A61K31/497; A61K2300/00; A61K38/193; A61K2300/00; A61K39/39558; A61K2300/00; A61K38/202; A61K2300/00; A61K38/1793; A61K2300/00; A61K31/4545; A61K2300/00","US201615193784","20160627","US201615193784 20160627; US201414517254 20141017; US201213499436 20120608; WO2010AU01295 20101001; US20090247669P 20091001","","","","","","","","","","","","","",""
"SUNITINIB PRODRUG AND PHARMACEUTICAL COMPOSITION","WO2016119646 (A1)","2016-08-04","WANG ZHONG [CN];  LI QING [CN]","TRIDENT BIOSCIENCES INC [CN]","C07D403/06; A61K31/404; A61P1/16; A61P35/00","A61K31/404; C07D403/06","WO2016CN71951","20160125","CN2015145099 20150128","","","","","","","","","","","CN103848985 (A)","","",""
"PROCESS FOR THE PREPARATION OF MALIC ACID SALT OF SUNITINIB","ZA201207547 (B)","2013-06-26","SANWAL SUDHIR SINGH;  SATHYANARAYANA SWARGAM;  PRASAD MOHAN;  KUMAR SARIDI MADHAVA DILEEP;  THAPER RAJESH KUMAR","RANBAXY LABORATORIES LTD [IN]","A61K; A61P; C07D","C07D403/06; C07C51/41; C07B2200/07","ZA20120007547","20121008","IN2010DEL635 20100318; WO2011IB50820 20110225","","","","","","","","","","","","","",""
"PROCESS FOR THE DIRECT PREPARATION OF MALIC ACID SALT OF SUNITINIB","ZA201207417 (B)","2013-06-26","SANWAL SUDHIR SINGH;  SATHYANARAYANA SWARGAM;  KUMAR SARIDI MADHAVA DILEEP;  THAPER RAJESH KUMAR;  PRASAD MOHAN","RANBAXY LABORATORIES LTD [IN]","C07D","C07D403/06; C07C51/412","ZA20120007417","20121003","IN2010DEL478 20100304; WO2011IB50821 20110225","","","","","","","","","","","","","",""
"CRYSTALLINE FORMS OF L-MALIC ACID SALT OF SUNITINIB","ZA201206298 (B)","2013-06-26","SANWAL SUDHIR SINGH;  SATHYANARAYANA SWARGAM;  PRASAD MOHAN;  KUMAR SARIDI MADHAVA DILEEP;  THAPER RAJESH KUMAR","RANBAXY LABORATORIES LTD [IN]","C07D","C07D403/06","ZA20120006298","20120821","IN2010DEL203 20100129; WO2011IB50397 20110128","","","","","","","","","","","","","",""
"AGENT FOR PREVENTING AND/OR TREATING AMYOTROPHIC LATERAL SCLEROSIS","WO2016114322 (A1)","2016-07-21","INOUE HARUHISA [JP];  IMAMURA KEIKO [JP]","UNIV KYOTO [JP]","A61K45/00; A61K31/277; A61K31/416; A61K31/4365; A61K31/4433; A61K31/496; A61K31/505; A61K31/506; A61K31/5377; A61P21/00","A61K45/00; A61K31/277; A61K31/416; A61K31/4365; A61K31/4433; A61K31/496; A61K31/505; A61K31/506; A61K31/5377","WO2016JP50883","20160113","JP20150004589 20150113; JP20150137909 20150709","","","","","","","","","","","WO2010098888 (A1); JP2014502974 (A); WO2004091663 (A1); WO2012048330 (A2); WO2010065162 (A1); WO2008031835 (A2); WO2006042362 (A1); JP2013518810 (A)","XP026692386; XP028156756","",""
"SALTS OF SUNITINIB","ZA201202565 (B)","2012-12-27","SANWAL SUDHIR SINGH;  SATHYANARAYANA SWARGAM;  PRASAD MOHAN;  KUMAR SARIDI MADHAVA DILEEP;  THAPER RAJESH KUMAR","RANBAXY LABORATORIES LTD [IN]","C07D","C07D403/06","ZA20120002565","20120410","IN2009DEL1932 20090916; WO2010IB54196 20100916","","","","","","","","","","","","","",""
"Active targeting liposome for resisting lung cancer and preparing method and application of active targeting liposome","CN105726483 (A)","2016-07-06","LU KAIHUA;  HE LIANG;  ZHANG MEILING","LU KAIHUA;  HE LIANG;  ZHANG MEILING","A61K9/127; A61K31/202; A61K31/404; A61K47/42; A61P35/00","","CN2016175758","20160203","CN2016175758 20160203","CN101225042 (A); CN102485212 (A)","","","","","","","","","","","","",""
