"","pmid","pub_year","journal","first_author","last_author","title"
"1","11005253","2000","Histology and histopathology","Nishida T","Hirota S","Biological and clinical review of stromal tumors in the gastrointestinal tract."
"2","11213830","2001","Virchows Archiv : an international journal of pathology","Miettinen M","Lasota J","Gastrointestinal stromal tumors--definition, clinical, histological, immunohistochemical, and molecular genetic features and differential diagnosis."
"3","16293410","2005","European journal of cancer (Oxford, England : 1990)","Goettsch WG","Hogendoorn PC","Incidence of gastrointestinal stromal tumours is underestimated: results of a nation-wide study."
"4","12528771","2002","European journal of cancer (Oxford, England : 1990)","Roberts PJ","Eisenberg B","Clinical presentation of gastrointestinal stromal tumors and treatment of operable disease."
"5","12528772","2002","European journal of cancer (Oxford, England : 1990)","Miettinen M","Lasota J","Pathology and diagnostic criteria of gastrointestinal stromal tumors (GISTs): a review."
"6","12181401","2002","The New England journal of medicine","Demetri GD","Joensuu H","Efficacy and safety of imatinib mesylate in advanced gastrointestinal stromal tumors."
"7","15451219","2004","Lancet (London, England)","Verweij J","Judson I","Progression-free survival in gastrointestinal stromal tumours with high-dose imatinib: randomised trial."
"8","10023944","1999","Lancet (London, England)","","","Interferon-alpha and survival in metastatic renal carcinoma: early results of a randomised controlled trial. Medical Research Council Renal Cancer Collaborators."
"9","15448028","2004","Clinical cancer research : an official journal of the American Association for Cancer Research","Atkins MB","McDermott D","Update on the role of interleukin 2 and other cytokines in the treatment of patients with stage IV renal carcinoma."
"10","9562581","1998","The New England journal of medicine","Negrier S","Tursz T","Recombinant human interleukin-2, recombinant human interferon alfa-2a, or both in metastatic renal-cell carcinoma. Groupe Français d'Immunothérapie."
"11","8355047","1993","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","Vogelzang NJ","Figlin RA","Subcutaneous interleukin-2 plus interferon alfa-2a in metastatic renal cancer: an outpatient multicenter trial."
"12","10561255","1999","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","Escudier B","Négrier S","Cytokines in metastatic renal cell carcinoma: is it useful to switch to interleukin-2 or interferon after failure of a first treatment? Groupe Français d'Immunothérape."
"13","15908660","2005","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","Hurwitz HI","Kabbinavar F","Bevacizumab in combination with fluorouracil and leucovorin: an active regimen for first-line metastatic colorectal cancer."
"14","16118771","2005","Journal of surgical oncology","Scappaticci FA","Hurwitz H","Surgical wound healing complications in metastatic colorectal cancer patients treated with bevacizumab."
"15","16314617","2006","Journal of clinical oncology : official journal of the American Society of Clinical Oncology","Faivre S","Raymond E","Safety, pharmacokinetic, and antitumor activity of SU11248, a novel oral multitarget tyrosine kinase inhibitor, in patients with cancer."
